@RELATION telemarketing

@ATTRIBUTE age REAL
@ATTRIBUTE job {admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown}
@ATTRIBUTE marital {divorced,married,single,unknown}
@ATTRIBUTE education {basic.4y,basic.6y,basic.9y,high.school,illiterate,professional.course,university.degree,unknown}
@ATTRIBUTE default {no,unknown,yes}
@ATTRIBUTE housing {no,unknown,yes}
@ATTRIBUTE loan {no,unknown,yes}
@ATTRIBUTE contact {cellular,telephone}
@ATTRIBUTE month {apr,aug,dec,jul,jun,mar,may,nov,oct,sep}
@ATTRIBUTE day_of_week {fri,mon,thu,tue,wed}
@ATTRIBUTE campaign REAL
@ATTRIBUTE pdays REAL
@ATTRIBUTE previous REAL
@ATTRIBUTE poutcome {failure,nonexistent,success}
@ATTRIBUTE emp.var.rate REAL
@ATTRIBUTE cons.price.idx REAL
@ATTRIBUTE cons.conf.idx REAL
@ATTRIBUTE euribor3m REAL
@ATTRIBUTE nr.employed REAL
@ATTRIBUTE class {no,yes}

@DATA
48,admin.,single,university.degree,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
27,admin.,married,high.school,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
29,admin.,single,high.school,no,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
31,technician,single,high.school,no,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
60,admin.,divorced,high.school,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
34,technician,married,professional.course,no,no,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
28,admin.,married,high.school,no,no,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
29,management,married,university.degree,no,no,no,cellular,nov,fri,4,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
46,services,married,basic.6y,no,yes,no,cellular,aug,fri,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
31,services,single,high.school,no,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
25,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
42,admin.,married,high.school,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,no
32,blue-collar,married,professional.course,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
39,blue-collar,divorced,basic.6y,unknown,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,3,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no
56,management,married,unknown,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
39,services,married,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
43,admin.,single,university.degree,no,yes,no,telephone,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
52,technician,divorced,university.degree,no,yes,yes,cellular,aug,wed,4,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
53,admin.,married,university.degree,unknown,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
43,admin.,married,high.school,no,no,no,telephone,jun,fri,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
26,student,single,basic.9y,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
24,admin.,single,university.degree,no,yes,no,cellular,nov,wed,1,9,3,failure,-3.4,92.649,-30.1,0.716,5017.5,no
36,management,single,high.school,no,no,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
31,blue-collar,married,basic.6y,unknown,no,no,cellular,may,thu,1,6,1,success,-1.8,92.893,-46.2,1.266,5099.1,yes
32,services,married,basic.4y,unknown,no,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
30,unemployed,single,university.degree,no,yes,yes,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
34,self-employed,single,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
51,blue-collar,married,basic.4y,no,yes,yes,telephone,dec,mon,1,999,0,nonexistent,-0.2,92.756,-45.9,3.488,5176.3,no
32,entrepreneur,married,basic.6y,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
34,management,married,high.school,no,yes,no,telephone,aug,mon,7,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
59,admin.,married,unknown,no,no,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
49,self-employed,married,university.degree,unknown,yes,yes,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
36,self-employed,single,university.degree,no,no,no,cellular,oct,fri,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,yes
50,admin.,married,university.degree,no,no,no,cellular,nov,mon,1,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,no
46,unemployed,married,basic.9y,unknown,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
59,retired,married,basic.4y,unknown,yes,yes,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,services,married,high.school,unknown,yes,yes,telephone,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
36,services,single,high.school,no,no,yes,cellular,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
38,management,married,university.degree,no,yes,no,telephone,may,mon,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,admin.,married,high.school,no,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
53,technician,married,professional.course,unknown,yes,yes,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
31,blue-collar,married,basic.9y,no,yes,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
41,services,married,high.school,no,yes,no,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
31,blue-collar,single,high.school,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
45,blue-collar,married,basic.6y,unknown,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
74,retired,married,university.degree,no,yes,no,cellular,oct,fri,2,3,2,success,-1.1,94.601,-49.5,0.993,4963.6,no
35,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
45,unemployed,married,basic.9y,no,yes,no,cellular,jun,mon,1,999,1,failure,-2.9,92.963,-40.8,1.266,5076.2,no
35,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,admin.,single,university.degree,no,no,no,telephone,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
29,admin.,married,high.school,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
40,services,married,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,technician,divorced,professional.course,unknown,yes,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
54,admin.,divorced,university.degree,no,no,no,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
41,admin.,married,university.degree,no,yes,yes,telephone,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
23,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,3,2,success,-2.9,92.201,-31.4,0.861,5076.2,yes
25,services,single,high.school,no,yes,no,cellular,oct,thu,2,999,0,nonexistent,-3.4,92.431,-26.9,0.733,5017.5,yes
36,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
31,services,divorced,high.school,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
49,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
60,admin.,married,high.school,unknown,no,yes,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
56,retired,married,professional.course,no,unknown,unknown,cellular,oct,thu,1,6,1,success,-3.4,92.431,-26.9,0.733,5017.5,yes
29,admin.,married,university.degree,no,no,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
27,services,married,high.school,unknown,no,no,telephone,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,yes
81,retired,married,basic.9y,no,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,no
32,technician,single,professional.course,no,yes,no,cellular,may,fri,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
27,services,single,high.school,no,no,no,cellular,jul,fri,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
29,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30,services,married,high.school,no,yes,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
38,services,married,high.school,no,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
45,admin.,married,high.school,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
37,blue-collar,divorced,professional.course,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
52,retired,married,basic.9y,unknown,no,no,telephone,may,thu,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
73,retired,married,university.degree,no,yes,no,cellular,mar,fri,1,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,yes
32,admin.,married,high.school,no,yes,yes,cellular,jul,thu,22,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
41,admin.,divorced,basic.6y,no,no,no,telephone,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
30,technician,married,professional.course,no,yes,no,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,1.032,4963.6,yes
33,blue-collar,married,university.degree,no,no,no,telephone,jul,thu,1,999,0,nonexistent,-1.7,94.215,-40.3,0.782,4991.6,no
53,entrepreneur,divorced,university.degree,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
38,blue-collar,married,high.school,unknown,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
34,admin.,married,university.degree,unknown,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
56,services,married,high.school,no,no,yes,cellular,jul,fri,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,unemployed,divorced,high.school,unknown,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,self-employed,married,university.degree,no,yes,no,cellular,nov,mon,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
41,entrepreneur,divorced,professional.course,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
49,services,married,basic.6y,no,no,yes,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,no
45,management,married,basic.9y,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,technician,married,university.degree,no,no,no,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,no
28,admin.,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
56,admin.,married,university.degree,no,yes,yes,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
35,technician,married,basic.9y,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
42,services,single,high.school,no,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
43,admin.,married,high.school,no,yes,no,telephone,jun,fri,15,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
42,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
42,technician,single,high.school,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
48,technician,married,professional.course,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
28,services,married,high.school,no,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
34,blue-collar,married,unknown,no,no,yes,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
42,admin.,married,basic.9y,unknown,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
60,retired,married,professional.course,no,yes,yes,cellular,jul,thu,4,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,no
37,blue-collar,married,basic.6y,no,yes,no,cellular,oct,thu,4,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,no
49,admin.,divorced,basic.9y,no,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
29,admin.,single,university.degree,no,no,yes,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
48,admin.,single,high.school,no,yes,no,cellular,jul,fri,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
49,blue-collar,married,high.school,unknown,no,yes,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
39,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
35,admin.,married,high.school,unknown,yes,no,telephone,may,fri,14,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
50,management,married,high.school,unknown,no,no,telephone,jun,fri,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
51,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
30,services,single,high.school,no,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
55,admin.,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
35,management,married,university.degree,unknown,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
56,admin.,married,basic.9y,no,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
18,student,single,basic.9y,no,no,no,cellular,dec,thu,2,999,0,nonexistent,-3,92.713,-33,0.712,5023.5,yes
30,services,married,university.degree,no,unknown,unknown,cellular,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
24,technician,divorced,professional.course,no,yes,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
54,admin.,married,high.school,no,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
48,admin.,single,high.school,no,no,yes,cellular,jul,fri,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30,management,single,university.degree,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
38,blue-collar,married,basic.9y,no,yes,no,cellular,oct,mon,3,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,no
31,services,single,high.school,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
50,self-employed,divorced,university.degree,no,no,no,cellular,nov,thu,4,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
47,admin.,married,high.school,no,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,no
30,admin.,single,university.degree,no,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
39,services,married,basic.9y,unknown,yes,yes,telephone,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
48,management,divorced,university.degree,no,yes,no,cellular,nov,wed,1,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes
30,admin.,single,university.degree,no,yes,no,telephone,apr,tue,2,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,no
34,management,married,university.degree,no,yes,no,telephone,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
30,blue-collar,single,professional.course,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-1.1,94.767,-50.8,1.049,4963.6,no
30,blue-collar,single,basic.4y,unknown,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
34,admin.,married,university.degree,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
36,housemaid,married,high.school,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
32,technician,single,professional.course,no,yes,no,cellular,nov,fri,5,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
58,management,divorced,university.degree,no,no,no,telephone,may,thu,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
28,services,married,basic.9y,no,no,no,cellular,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
42,management,married,university.degree,no,no,yes,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
50,services,married,basic.6y,no,yes,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
35,blue-collar,divorced,basic.6y,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
31,technician,single,professional.course,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
28,admin.,married,university.degree,no,yes,no,cellular,aug,wed,1,999,1,failure,-2.9,92.201,-31.4,0.834,5076.2,no
34,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,admin.,single,university.degree,no,no,yes,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
51,admin.,single,university.degree,no,yes,yes,cellular,jun,fri,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
39,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
53,housemaid,married,basic.4y,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,management,married,high.school,unknown,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,services,single,high.school,unknown,no,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
39,services,married,high.school,unknown,no,no,telephone,jun,fri,9,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
34,blue-collar,married,unknown,unknown,yes,no,telephone,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
33,services,single,professional.course,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
36,housemaid,married,basic.6y,no,no,no,cellular,aug,mon,9,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
37,admin.,single,high.school,no,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
31,admin.,married,high.school,no,yes,yes,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
26,self-employed,married,university.degree,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
42,technician,divorced,professional.course,no,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,no
74,retired,married,basic.4y,no,yes,no,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
48,blue-collar,married,professional.course,no,no,no,telephone,jun,tue,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
53,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,yes
46,blue-collar,married,basic.6y,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
35,admin.,married,university.degree,no,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
38,admin.,married,university.degree,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
50,blue-collar,married,basic.6y,unknown,no,no,cellular,may,fri,6,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
44,management,married,high.school,unknown,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
31,services,divorced,high.school,no,yes,yes,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
31,admin.,single,university.degree,unknown,no,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
27,admin.,single,university.degree,no,no,no,cellular,sep,thu,3,3,1,success,-1.1,94.199,-37.5,0.879,4963.6,yes
25,technician,single,professional.course,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
56,services,single,high.school,no,yes,yes,cellular,nov,fri,4,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
30,technician,single,university.degree,unknown,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
53,entrepreneur,married,unknown,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
43,management,married,university.degree,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
42,admin.,married,university.degree,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
38,admin.,married,university.degree,no,no,no,telephone,may,tue,6,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
60,retired,married,professional.course,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
48,admin.,married,university.degree,no,no,no,cellular,dec,mon,2,999,0,nonexistent,-3,92.713,-33,0.717,5023.5,no
51,blue-collar,married,basic.6y,no,unknown,unknown,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,yes
30,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,technician,married,university.degree,unknown,yes,yes,cellular,aug,mon,11,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
51,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
24,technician,married,professional.course,no,yes,no,cellular,may,thu,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
25,admin.,single,university.degree,no,unknown,unknown,cellular,oct,fri,2,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,no
37,admin.,married,high.school,no,no,yes,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
