%
% Citation Request :
% 1. OZKAN I.A., KOKLU M. and SARACOGLU R. (2021). Classification of Pistachio Species Using Improved K-NN Classifier. Progress in Nutrition, Vol. 23, N. 2, pp. DOI:10.23751/pn.v23i2.9686.  (Open Access) 
% 
% 2. SINGH D, TASPINAR YS, KURSUN R, CINAR I, KOKLU M, OZKAN IA, LEE H-N., (2022). Classification and Analysis of Pistachio Species with Pre-Trained Deep Learning Models, Electronics, 11 (7), 981. https://doi.org/10.3390/electronics11070981. (Open Access)
% DATASET: https://www.muratkoklu.com/datasets/
% Article Download (PDF): https://www.mattioli1885journals.com/index.php/progressinnutrition/article/view/9686/9178
% https://www.mdpi.com/2079-9292/11/7/981/pdf


@RELATION Pistachio_16_Features_Dataset
@ATTRIBUTE AREA	INTEGER
@ATTRIBUTE PERIMETER	REAL
@ATTRIBUTE MAJOR_AXIS	REAL
@ATTRIBUTE MINOR_AXIS	REAL
@ATTRIBUTE ECCENTRICITY	REAL
@ATTRIBUTE EQDIASQ	REAL
@ATTRIBUTE SOLIDITY	REAL
@ATTRIBUTE CONVEX_AREA	INTEGER
@ATTRIBUTE EXTENT	REAL
@ATTRIBUTE ASPECT_RATIO	REAL
@ATTRIBUTE ROUNDNESS	REAL
@ATTRIBUTE COMPACTNESS	REAL
@ATTRIBUTE SHAPEFACTOR_1	REAL
@ATTRIBUTE SHAPEFACTOR_2	REAL
@ATTRIBUTE SHAPEFACTOR_3	REAL
@ATTRIBUTE SHAPEFACTOR_4	REAL
@ATTRIBUTE Class	{Kirmizi_Pistachio, Siit_Pistachio}

@DATA
69391,1930.618,422.5333,223.0412,0.8493,297.2396,0.8948,77549,0.631,1.8944,0.2339,0.7035,0.0061,0.0032,0.4949,0.9375,Kirmizi_Pistachio
67309,2353.405,451.3162,201.3479,0.895,292.7464,0.8906,75573,0.6887,2.2415,0.1527,0.6487,0.0067,0.003,0.4207,0.9431,Kirmizi_Pistachio
81656,1197.543,458.7472,237.3117,0.8558,322.4402,0.9164,89104,0.7482,1.9331,0.7155,0.7029,0.0056,0.0029,0.494,0.955,Kirmizi_Pistachio
61725,1387.943,432.0616,194.6882,0.8927,280.3404,0.9016,68459,0.671,2.2192,0.4027,0.6488,0.007,0.0032,0.421,0.9343,Kirmizi_Pistachio
81583,1295.3361,479.0619,228.7762,0.8786,322.296,0.928,87911,0.6971,2.094,0.611,0.6728,0.0059,0.0028,0.4526,0.9478,Kirmizi_Pistachio
62862,1086.575,431.9981,188.4041,0.8999,282.9106,0.9662,65062,0.7527,2.2929,0.6691,0.6549,0.0069,0.003,0.4289,0.9834,Kirmizi_Pistachio
84537,1181.153,461.5339,235.7771,0.8597,328.079,0.9858,85753,0.7674,1.9575,0.7615,0.7108,0.0055,0.0028,0.5053,0.9891,Kirmizi_Pistachio
89306,1940.193,483.5113,249.2116,0.8569,337.2061,0.9492,94090,0.741,1.9402,0.2981,0.6974,0.0054,0.0028,0.4864,0.9437,Kirmizi_Pistachio
70220,1217.2271,437.8213,214.6285,0.8716,299.0098,0.9267,75771,0.7174,2.0399,0.5956,0.6829,0.0062,0.0031,0.4664,0.9515,Kirmizi_Pistachio
74843,1158.202,432.663,232.6371,0.8431,308.6957,0.9543,78426,0.7205,1.8598,0.7011,0.7135,0.0058,0.0031,0.5091,0.9467,Kirmizi_Pistachio
87771,1319.517,454.6037,252.8515,0.831,334.2955,0.9446,92915,0.7355,1.7979,0.6335,0.7354,0.0052,0.0029,0.5407,0.9722,Kirmizi_Pistachio
91806,1399.255,460.7054,260.789,0.8244,341.8933,0.9639,95243,0.7371,1.7666,0.5892,0.7421,0.005,0.0028,0.5507,0.9729,Kirmizi_Pistachio
63199,1236.666,421.4809,196.3623,0.8848,283.6679,0.9622,65683,0.589,2.1464,0.5193,0.673,0.0067,0.0031,0.453,0.9723,Kirmizi_Pistachio
74213,1158.459,437.698,224.3232,0.8587,307.3938,0.9472,78352,0.755,1.9512,0.6949,0.7023,0.0059,0.003,0.4932,0.9624,Kirmizi_Pistachio
37570,1341.147,344.9283,143.1741,0.9098,218.7135,0.8697,43197,0.6135,2.4092,0.2625,0.6341,0.0092,0.0038,0.4021,0.9686,Kirmizi_Pistachio
77789,1362.205,465.1488,217.4065,0.8841,314.7126,0.9473,82118,0.7536,2.1395,0.5268,0.6766,0.006,0.0028,0.4578,0.9794,Kirmizi_Pistachio
84672,1334.7111,489.0739,221.9485,0.8911,328.3409,0.9719,87123,0.7397,2.2035,0.5973,0.6714,0.0058,0.0026,0.4507,0.9932,Kirmizi_Pistachio
58424,1753.005,397.4376,192.0517,0.8755,272.7412,0.9236,63260,0.6785,2.0694,0.2389,0.6862,0.0068,0.0033,0.4709,0.9746,Kirmizi_Pistachio
93340,1290.415,511.8364,235.6817,0.8877,344.7379,0.971,96123,0.7512,2.1717,0.7044,0.6735,0.0055,0.0025,0.4536,0.9852,Kirmizi_Pistachio
75077,1120.8929,458.377,211.5717,0.8871,309.1779,0.9779,76774,0.7671,2.1665,0.7509,0.6745,0.0061,0.0028,0.455,0.9857,Kirmizi_Pistachio
72345,1368.713,418.4174,224.5171,0.8438,303.5004,0.9387,77070,0.6268,1.8636,0.4853,0.7254,0.0058,0.0031,0.5261,0.9805,Kirmizi_Pistachio
78461,1203.48,437.4697,232.9623,0.8464,316.0691,0.9698,80902,0.7554,1.8779,0.6807,0.7225,0.0056,0.003,0.522,0.9802,Kirmizi_Pistachio
76915,1097.152,442.0767,224.2478,0.8618,312.9396,0.9841,78158,0.7652,1.9714,0.8029,0.7079,0.0057,0.0029,0.5011,0.9879,Kirmizi_Pistachio
92480,1255.385,500.6346,240.093,0.8775,343.146,0.9685,95490,0.7341,2.0852,0.7374,0.6854,0.0054,0.0026,0.4698,0.9796,Kirmizi_Pistachio
73059,1628.4709,427.7905,230.3421,0.8427,304.9944,0.9194,79460,0.6748,1.8572,0.3462,0.713,0.0059,0.0032,0.5083,0.944,Kirmizi_Pistachio
61791,1528.2679,414.7242,207.9009,0.8653,280.4902,0.893,69194,0.6591,1.9948,0.3325,0.6763,0.0067,0.0034,0.4574,0.9125,Kirmizi_Pistachio
85157,1363.88,499.3797,222.86,0.8949,329.2799,0.9562,89054,0.6959,2.2408,0.5753,0.6594,0.0059,0.0026,0.4348,0.9742,Kirmizi_Pistachio
70770,1384.416,452.0448,210.2005,0.8853,300.1786,0.9106,77716,0.6567,2.1505,0.464,0.664,0.0064,0.003,0.441,0.9483,Kirmizi_Pistachio
47845,949.563,365.4784,181.8247,0.8675,246.816,0.8916,53660,0.7029,2.0101,0.6668,0.6753,0.0076,0.0038,0.4561,0.9167,Kirmizi_Pistachio
73577,1087.76,428.6543,222.8309,0.8543,306.0738,0.9841,74762,0.7061,1.9237,0.7814,0.714,0.0058,0.003,0.5098,0.9808,Kirmizi_Pistachio
84056,1385.101,464.739,237.5981,0.8594,327.1443,0.9427,89167,0.7534,1.956,0.5506,0.7039,0.0055,0.0028,0.4955,0.9692,Kirmizi_Pistachio
62609,1050.494,385.9383,208.47,0.8416,282.3407,0.9746,64238,0.726,1.8513,0.713,0.7316,0.0062,0.0033,0.5352,0.9908,Kirmizi_Pistachio
31446,1127.548,360.3897,133.5096,0.9288,200.0957,0.7601,41369,0.4853,2.6994,0.3108,0.5552,0.0115,0.0042,0.3083,0.8321,Kirmizi_Pistachio
76194,1344.9139,458.8042,213.5682,0.8851,311.4695,0.9694,78600,0.7459,2.1483,0.5293,0.6789,0.006,0.0028,0.4609,0.9901,Kirmizi_Pistachio
96528,1227.693,503.6039,248.7427,0.8695,350.5756,0.9915,97353,0.7454,2.0246,0.8048,0.6961,0.0052,0.0026,0.4846,0.9811,Kirmizi_Pistachio
79797,1234.702,477.1937,215.0855,0.8927,318.7486,0.9729,82021,0.7636,2.2186,0.6578,0.668,0.006,0.0027,0.4462,0.9899,Kirmizi_Pistachio
86028,2224.957,461.7926,250.666,0.8399,330.9596,0.9155,93967,0.7231,1.8423,0.2184,0.7167,0.0054,0.0029,0.5136,0.9463,Kirmizi_Pistachio
65410,1032.755,412.5824,205.1103,0.8677,288.5872,0.9809,66683,0.7523,2.0115,0.7707,0.6995,0.0063,0.0031,0.4893,0.9841,Kirmizi_Pistachio
65313,1188.033,447.5455,188.3187,0.9072,288.3732,0.9602,68022,0.6756,2.3765,0.5815,0.6443,0.0069,0.0029,0.4152,0.9867,Kirmizi_Pistachio
50619,1564.62,388.0582,246.0368,0.7733,253.8703,0.6643,76196,0.499,1.5772,0.2598,0.6542,0.0077,0.0049,0.428,0.675,Kirmizi_Pistachio
90439,1240.946,492.7342,238.3388,0.8752,339.3383,0.9755,92710,0.7723,2.0674,0.738,0.6887,0.0054,0.0026,0.4743,0.9805,Kirmizi_Pistachio
92442,1264.097,525.7289,224.7688,0.904,343.0755,0.989,93467,0.7268,2.339,0.727,0.6526,0.0057,0.0024,0.4258,0.9961,Kirmizi_Pistachio
93501,1303.598,517.9537,231.263,0.8948,345.035,0.9784,95561,0.7334,2.2397,0.6914,0.6662,0.0055,0.0025,0.4438,0.9939,Kirmizi_Pistachio
69088,1402.432,460.5004,202.9455,0.8977,296.5899,0.9128,75684,0.6446,2.2691,0.4414,0.6441,0.0067,0.0029,0.4148,0.9412,Kirmizi_Pistachio
64307,1225.937,402.5959,220.378,0.8369,286.1437,0.8963,71746,0.7242,1.8268,0.5377,0.7107,0.0063,0.0034,0.5052,0.9228,Kirmizi_Pistachio
72065,1333.058,414.2928,229.8281,0.832,302.9125,0.938,76825,0.7062,1.8026,0.5096,0.7312,0.0057,0.0032,0.5346,0.9637,Kirmizi_Pistachio
57068,1581.246,403.2427,183.9032,0.8899,269.5575,0.933,61167,0.6873,2.1927,0.2868,0.6685,0.0071,0.0032,0.4469,0.9798,Kirmizi_Pistachio
65427,1047.767,421.7471,206.7846,0.8716,288.6248,0.9497,68891,0.654,2.0395,0.7489,0.6844,0.0064,0.0032,0.4683,0.9552,Kirmizi_Pistachio
77050,1725.632,438.9074,247.6871,0.8256,313.2141,0.8931,86274,0.7109,1.772,0.3252,0.7136,0.0057,0.0032,0.5093,0.9024,Kirmizi_Pistachio
66535,1659.483,404.52,224.5332,0.8318,291.0584,0.9149,72723,0.7063,1.8016,0.3036,0.7195,0.0061,0.0034,0.5177,0.9327,Kirmizi_Pistachio
77361,1399.844,441.3551,231.3814,0.8516,313.8456,0.9545,81047,0.6335,1.9075,0.4961,0.7111,0.0057,0.003,0.5057,0.9645,Kirmizi_Pistachio
66351,1271.3149,427.1792,204.8042,0.8776,290.6557,0.9283,71474,0.74,2.0858,0.5159,0.6804,0.0064,0.0031,0.463,0.9656,Kirmizi_Pistachio
71601,2099.2209,442.7674,216.0146,0.8729,301.9358,0.8732,82001,0.6963,2.0497,0.2042,0.6819,0.0062,0.003,0.465,0.9532,Kirmizi_Pistachio
90965,2020.76,476.796,251.2151,0.8499,340.3237,0.9449,96265,0.6642,1.898,0.2799,0.7138,0.0052,0.0028,0.5095,0.967,Kirmizi_Pistachio
80126,1643.757,469.2585,223.1923,0.8796,319.4051,0.9537,84017,0.7214,2.1025,0.3727,0.6807,0.0059,0.0028,0.4633,0.9741,Kirmizi_Pistachio
62512,995.819,388.3713,209.3298,0.8423,282.1219,0.9629,64918,0.7729,1.8553,0.7922,0.7264,0.0062,0.0033,0.5277,0.979,Kirmizi_Pistachio
70937,1640.005,460.0704,207.4556,0.8926,300.5325,0.8903,79679,0.6278,2.2177,0.3314,0.6532,0.0065,0.0029,0.4267,0.9463,Kirmizi_Pistachio
60803,1317.906,413.886,195.5904,0.8813,278.2387,0.9106,66769,0.6834,2.1161,0.4399,0.6723,0.0068,0.0032,0.4519,0.9563,Kirmizi_Pistachio
67632,1172.774,450.7991,199.7804,0.8964,293.448,0.9534,70939,0.68,2.2565,0.6179,0.651,0.0067,0.003,0.4237,0.9562,Kirmizi_Pistachio
73346,1379.818,450.6285,211.6458,0.8828,305.5929,0.9272,79103,0.7214,2.1292,0.4841,0.6781,0.0061,0.0029,0.4599,0.9792,Kirmizi_Pistachio
90838,1273.083,485.8356,243.6367,0.8652,340.0861,0.9579,94826,0.7631,1.9941,0.7043,0.7,0.0053,0.0027,0.49,0.9771,Kirmizi_Pistachio
50909,1224.295,376.1862,182.7449,0.8741,254.5965,0.9119,55829,0.6996,2.0585,0.4268,0.6768,0.0074,0.0036,0.458,0.9429,Kirmizi_Pistachio
81491,1124.584,454.8868,230.6578,0.8619,322.1142,0.9895,82357,0.7996,1.9721,0.8097,0.7081,0.0056,0.0028,0.5014,0.9889,Kirmizi_Pistachio
78375,1327.229,459.6328,222.1572,0.8754,315.8958,0.9653,81193,0.6961,2.069,0.5591,0.6873,0.0059,0.0028,0.4724,0.9773,Kirmizi_Pistachio
88446,1305.201,494.5618,233.0013,0.8821,335.5785,0.9528,92825,0.734,2.1226,0.6524,0.6785,0.0056,0.0026,0.4604,0.9773,Kirmizi_Pistachio
76645,1177.611,443.8281,224.6561,0.8624,312.3899,0.9531,80416,0.7404,1.9756,0.6945,0.7039,0.0058,0.0029,0.4954,0.9787,Kirmizi_Pistachio
86335,1204.7581,474.8975,233.5128,0.8708,331.5496,0.9882,87363,0.751,2.0337,0.7475,0.6981,0.0055,0.0027,0.4874,0.9913,Kirmizi_Pistachio
50943,1183.611,411.1484,162.1829,0.9189,254.6815,0.9226,55216,0.6845,2.5351,0.457,0.6194,0.0081,0.0032,0.3837,0.9727,Kirmizi_Pistachio
86122,1221.968,484.0731,228.6191,0.8814,331.1404,0.9761,88229,0.731,2.1174,0.7248,0.6841,0.0056,0.0027,0.468,0.9908,Kirmizi_Pistachio
60411,1880.844,425.6987,202.7384,0.8793,277.3404,0.871,69362,0.6852,2.0997,0.2146,0.6515,0.007,0.0034,0.4244,0.8912,Kirmizi_Pistachio
81164,1222.931,442.9454,242.1429,0.8374,321.4673,0.9392,86419,0.7543,1.8293,0.682,0.7257,0.0055,0.003,0.5267,0.9635,Kirmizi_Pistachio
57539,1852.1949,415.5954,218.6565,0.8504,270.6676,0.7909,72752,0.6211,1.9007,0.2108,0.6513,0.0072,0.0038,0.4242,0.8062,Kirmizi_Pistachio
89516,1381.541,472.1266,247.1898,0.852,337.6023,0.9558,93654,0.7111,1.91,0.5894,0.7151,0.0053,0.0028,0.5113,0.9766,Kirmizi_Pistachio
80823,1752.064,455.1963,249.032,0.8371,320.7913,0.8924,90565,0.6916,1.8279,0.3309,0.7047,0.0056,0.0031,0.4966,0.9078,Kirmizi_Pistachio
63890,1110.252,413.5992,200.6706,0.8744,285.2144,0.9572,66746,0.6584,2.0611,0.6513,0.6896,0.0065,0.0031,0.4755,0.9801,Kirmizi_Pistachio
74065,1380.55,405.4317,245.2286,0.7963,307.0871,0.9041,81920,0.7251,1.6533,0.4883,0.7574,0.0055,0.0033,0.5737,0.9485,Kirmizi_Pistachio
60324,1851.119,367.964,216.4043,0.8088,277.1406,0.9038,66748,0.7151,1.7004,0.2212,0.7532,0.0061,0.0036,0.5673,0.9646,Kirmizi_Pistachio
91922,2600.3191,510.7675,247.9755,0.8742,342.1092,0.8823,104190,0.6661,2.0597,0.1708,0.6698,0.0056,0.0027,0.4486,0.9241,Kirmizi_Pistachio
61827,1119.1331,425.9982,191.7028,0.893,280.5719,0.9533,64856,0.7133,2.2222,0.6203,0.6586,0.0069,0.0031,0.4338,0.9639,Kirmizi_Pistachio
85969,2345.6279,421.6958,291.1149,0.7235,330.8461,0.8702,98789,0.7033,1.4486,0.1964,0.7846,0.0049,0.0034,0.6155,0.8916,Kirmizi_Pistachio
82735,1159.396,472.8359,228.0594,0.876,324.5635,0.9833,84136,0.7396,2.0733,0.7735,0.6864,0.0057,0.0028,0.4712,0.9769,Kirmizi_Pistachio
68522,1762.667,440.5884,210.0721,0.879,295.3725,0.9141,74961,0.6349,2.0973,0.2771,0.6704,0.0064,0.0031,0.4494,0.9426,Kirmizi_Pistachio
74054,1106.869,419.7861,229.3526,0.8376,307.0643,0.9637,76847,0.7725,1.8303,0.7596,0.7315,0.0057,0.0031,0.5351,0.9793,Kirmizi_Pistachio
80574,1205.184,447.1653,232.2778,0.8545,320.2968,0.9749,82648,0.728,1.9251,0.6971,0.7163,0.0055,0.0029,0.5131,0.9877,Kirmizi_Pistachio
71594,1168.067,475.4624,193.353,0.9136,301.9211,0.981,72982,0.7683,2.459,0.6594,0.635,0.0066,0.0027,0.4032,0.9916,Kirmizi_Pistachio
73474,1138.402,439.1718,218.9616,0.8668,305.8594,0.9698,75764,0.7522,2.0057,0.7124,0.6964,0.006,0.003,0.485,0.9728,Kirmizi_Pistachio
96086,1397.467,541.9661,233.9702,0.902,349.7721,0.9465,101521,0.666,2.3164,0.6183,0.6454,0.0056,0.0024,0.4165,0.9648,Kirmizi_Pistachio
96532,1767.6689,453.4496,282.7695,0.7817,350.5829,0.9494,101679,0.732,1.6036,0.3882,0.7731,0.0047,0.0029,0.5978,0.9586,Kirmizi_Pistachio
91090,1241.655,482.3434,244.1972,0.8624,340.5575,0.9797,92981,0.7762,1.9752,0.7425,0.706,0.0053,0.0027,0.4985,0.9847,Kirmizi_Pistachio
83628,1838.771,492.9537,230.5179,0.8839,326.3104,0.9257,90339,0.7383,2.1385,0.3108,0.6619,0.0059,0.0028,0.4382,0.937,Kirmizi_Pistachio
71716,1090.189,418.2818,219.9957,0.8505,302.1782,0.9779,73338,0.7484,1.9013,0.7583,0.7224,0.0058,0.0031,0.5219,0.9923,Kirmizi_Pistachio
89168,1332.229,504.1752,230.6764,0.8892,336.9454,0.9708,91854,0.7519,2.1856,0.6313,0.6683,0.0057,0.0026,0.4466,0.9762,Kirmizi_Pistachio
78126,1928.827,456.1414,237.1336,0.8542,315.3936,0.894,87390,0.728,1.9236,0.2639,0.6914,0.0058,0.003,0.4781,0.9196,Kirmizi_Pistachio
53028,1262.9,422.5751,164.0007,0.9216,259.841,0.9387,56488,0.7212,2.5767,0.4178,0.6149,0.008,0.0031,0.3781,0.9742,Kirmizi_Pistachio
84987,1136.249,462.183,238.2535,0.8569,328.9511,0.9764,87045,0.7701,1.9399,0.8272,0.7117,0.0054,0.0028,0.5066,0.9827,Kirmizi_Pistachio
80770,1256.714,445.8208,238.2141,0.8453,320.6861,0.9475,85247,0.6878,1.8715,0.6427,0.7193,0.0055,0.0029,0.5174,0.9683,Kirmizi_Pistachio
84880,1458.657,475.3602,246.4661,0.8551,328.7439,0.9233,91934,0.706,1.9287,0.5013,0.6916,0.0056,0.0029,0.4783,0.9224,Kirmizi_Pistachio
73254,1967.176,429.6196,233.9086,0.8388,305.4012,0.9119,80327,0.7125,1.8367,0.2379,0.7109,0.0059,0.0032,0.5053,0.9281,Kirmizi_Pistachio
84010,1241.546,490.5629,221.6895,0.8921,327.0548,0.9836,85410,0.7595,2.2128,0.6849,0.6667,0.0058,0.0026,0.4445,0.9836,Kirmizi_Pistachio
85018,1274.892,446.8256,246.677,0.8338,329.0111,0.9632,88270,0.7659,1.8114,0.6573,0.7363,0.0053,0.0029,0.5422,0.9821,Kirmizi_Pistachio
81487,1305.462,479.7953,227.478,0.8805,322.1063,0.9156,88994,0.709,2.1092,0.6009,0.6713,0.0059,0.0028,0.4507,0.9506,Kirmizi_Pistachio
60009,1132.484,405.3165,192.7359,0.8797,276.416,0.9553,62815,0.7488,2.103,0.588,0.682,0.0068,0.0032,0.4651,0.9781,Kirmizi_Pistachio
75881,1112.911,445.0782,222.8896,0.8656,310.829,0.9603,79014,0.7528,1.9969,0.7699,0.6984,0.0059,0.0029,0.4877,0.9739,Kirmizi_Pistachio
63231,1107.589,427.6864,192.8126,0.8926,283.7397,0.9453,66893,0.6484,2.2181,0.6477,0.6634,0.0068,0.003,0.4401,0.9763,Kirmizi_Pistachio
73482,2621.3689,483.8589,253.1174,0.8523,305.8761,0.7864,93439,0.6051,1.9116,0.1344,0.6322,0.0066,0.0034,0.3996,0.7639,Kirmizi_Pistachio
76715,1163.726,439.6134,226.2123,0.8574,312.5325,0.9817,78143,0.7481,1.9434,0.7119,0.7109,0.0057,0.0029,0.5054,0.9822,Kirmizi_Pistachio
79819,1193.443,448.4252,231.018,0.8571,318.7926,0.9631,82878,0.7369,1.9411,0.7042,0.7109,0.0056,0.0029,0.5054,0.981,Kirmizi_Pistachio
69644,1146.145,410.3784,223.2957,0.839,297.7809,0.9356,74435,0.6963,1.8378,0.6662,0.7256,0.0059,0.0032,0.5265,0.9677,Kirmizi_Pistachio
60466,1602.021,377.7837,240.4111,0.7714,277.4666,0.8344,72465,0.6676,1.5714,0.2961,0.7345,0.0062,0.004,0.5394,0.8477,Kirmizi_Pistachio
35873,971.085,326.2059,143.605,0.8979,213.7169,0.9456,37935,0.7731,2.2715,0.478,0.6552,0.0091,0.004,0.4292,0.975,Kirmizi_Pistachio
63966,1790.7111,401.2134,230.7706,0.818,285.384,0.8537,74929,0.6141,1.7386,0.2507,0.7113,0.0063,0.0036,0.506,0.8796,Kirmizi_Pistachio
71326,1254.259,458.2616,204.6301,0.8948,301.3554,0.9607,74246,0.6846,2.2395,0.5697,0.6576,0.0064,0.0029,0.4324,0.9684,Kirmizi_Pistachio
83131,1210.476,440.3339,246.5731,0.8285,325.3393,0.9516,87361,0.7965,1.7858,0.713,0.7388,0.0053,0.003,0.5459,0.9749,Kirmizi_Pistachio
75519,1177.696,448.8726,227.9406,0.8615,310.0867,0.9183,82240,0.6927,1.9693,0.6842,0.6908,0.0059,0.003,0.4772,0.9398,Kirmizi_Pistachio
79537,1439.5129,466.7973,221.2136,0.8806,318.2289,0.9437,84281,0.7568,2.1102,0.4823,0.6817,0.0059,0.0028,0.4648,0.9807,Kirmizi_Pistachio
84746,1311.157,482.7735,235.904,0.8725,328.4843,0.9121,92914,0.7162,2.0465,0.6195,0.6804,0.0057,0.0028,0.463,0.9474,Kirmizi_Pistachio
80715,1144.972,458.5215,228.5621,0.8669,320.5769,0.9723,83013,0.7613,2.0061,0.7737,0.6992,0.0057,0.0028,0.4888,0.9806,Kirmizi_Pistachio
77596,1235.537,455.2329,225.296,0.8689,314.322,0.9554,81221,0.7448,2.0206,0.6388,0.6905,0.0059,0.0029,0.4767,0.9633,Kirmizi_Pistachio
83019,1180.433,482.4406,221.1325,0.8888,325.1201,0.9828,84468,0.75,2.1817,0.7487,0.6739,0.0058,0.0027,0.4542,0.9908,Kirmizi_Pistachio
66035,2038.506,435.733,207.4999,0.8793,289.9627,0.8606,76729,0.6566,2.0999,0.1997,0.6655,0.0066,0.0031,0.4428,0.9299,Kirmizi_Pistachio
64036,1162.109,415.755,205.7012,0.869,285.5401,0.9208,69546,0.6947,2.0212,0.5959,0.6868,0.0065,0.0032,0.4717,0.9534,Kirmizi_Pistachio
49216,1063.024,388.5879,164.7131,0.9057,250.3273,0.9444,52114,0.7365,2.3592,0.5473,0.6442,0.0079,0.0033,0.415,0.979,Kirmizi_Pistachio
75982,1171.054,469.321,208.4384,0.896,311.0358,0.9832,77284,0.7004,2.2516,0.6963,0.6627,0.0062,0.0027,0.4392,0.9889,Kirmizi_Pistachio
76680,1383.629,442.8727,223.7487,0.863,312.4612,0.9624,79672,0.7533,1.9793,0.5033,0.7055,0.0058,0.0029,0.4978,0.9853,Kirmizi_Pistachio
90014,1207.855,498.039,231.4844,0.8854,338.5401,0.991,90832,0.7498,2.1515,0.7753,0.6797,0.0055,0.0026,0.4621,0.9941,Kirmizi_Pistachio
75639,1164.824,473.6581,203.8734,0.9026,310.333,0.9846,76819,0.7991,2.3233,0.7005,0.6552,0.0063,0.0027,0.4293,0.9973,Kirmizi_Pistachio
47569,1441.626,368.1418,180.4415,0.8716,246.1031,0.8518,55844,0.6452,2.0402,0.2876,0.6685,0.0077,0.0038,0.4469,0.9118,Kirmizi_Pistachio
66817,1267.011,462.0721,192.5321,0.9091,291.6746,0.9166,72895,0.6172,2.4,0.523,0.6312,0.0069,0.0029,0.3985,0.9563,Kirmizi_Pistachio
43091,1025.4771,414.3749,134.2832,0.946,234.2331,0.9605,44865,0.7672,3.0858,0.5149,0.5653,0.0096,0.0031,0.3195,0.986,Kirmizi_Pistachio
41435,1103.095,320.3445,172.6046,0.8424,229.6882,0.9236,44863,0.7345,1.8559,0.4279,0.717,0.0077,0.0042,0.5141,0.9541,Kirmizi_Pistachio
64467,1253.8051,411.6982,218.9355,0.8469,286.4995,0.8878,72618,0.6585,1.8805,0.5153,0.6959,0.0064,0.0034,0.4843,0.9107,Kirmizi_Pistachio
