% Yavuz Selim TASPINAR, Murat KOKLU and Mustafa ALTIN

% CV:https://www.muratkoklu.com/en/publications/
% DATASET: https://www.muratkoklu.com/datasets

% Citation Request :
% 1: KOKLU M., TASPINAR Y.S.,  (2021).  Determining the Extinguishing Status of Fuel Flames With Sound Wave by Machine Learning Methods.  IEEE Access, 9, pp.86207-86216, Doi: 10.1109/ACCESS.2021.3088612
% Link: https://ieeexplore.ieee.org/document/9452168 (Open Access)
% https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9452168
%
% 2: TASPINAR Y.S., KOKLU M., ALTIN M., (2021).  Classification of Flame Extinction Based on Acoustic Oscillations using Artificial Intelligence Methods.  Case Studies in Thermal Engineering, 28, 101561, Doi: 10.1016/j.csite.2021.101561
% Link: https://www.sciencedirect.com/science/article/pii/S2214157X21007243  (Open Access) 
% https://www.sciencedirect.com/sdfe/reader/pii/S2214157X21007243/pdf
%
% 3: TASPINAR Y.S., KOKLU M., ALTIN M., (2022).  Acoustic-Driven %Airflow Flame Extinguishing System Design and Analysis of Capabilities of Low Frequency in Different Fuels.  Fire Technology, Doi: 10.1007/s10694-021-01208-9
% Link: https://link.springer.com/content/pdf/10.1007/s10694-021-01208-9.pdf
%
%
%
% SHORT DESCRIPTION: The dataset was obtained as a result of the extinguishing tests of four different fuel flames with a sound wave extinguishing system. The sound wave fire-extinguishing system consists of 4 subwoofers with a total power of 4,000 Watt placed in the collimator cabinet. There are two amplifiers that enable the sound come to these subwoofers as boosted. Power supply that powers the system and filter circuit ensuring that the sound frequencies are properly transmitted to the system is located within the control unit. While computer is used as frequency source, anemometer was used to measure the airflow resulted from sound waves during the extinguishing phase of the flame, and a decibel meter to measure the sound intensity. An infrared thermometer was used to measure the temperature of the flame and the fuel can, and a camera is installed to detect the extinction time of the flame. A total of 17,442 tests were conducted with this experimental setup. The experiments are planned as follows:
% 1. Three different liquid fuels and LPG fuel were used to create the flame.
% 2. 5 different sizes of liquid fuel cans are used to achieve different size of flames.
% 3. Half and full gas adjustment is used for LPG fuel.
% 4. While carrying out each experiment, the fuel container, at 10 cm distance, was moved forward up to 190 cm by increasing the distance by 10 cm each time.
% 5. Along with the fuel container, anemometer and decibel meter were moved forward in the same dimensions.
% 6. Fire extinguishing experiments was conducted with 54 different frequency sound waves at each distance and flame size.
% Throughout the flame extinguishing experiments, the data obtained from each measurement device was recorded and a dataset was created. The dataset includes the features of fuel container size representing the flame size, fuel type, frequency, decibel, distance, airflow and flame extinction. Accordingly, 6 input features and 1 output feature will be used in models. The explanation of a total of seven features for liquid fuels in the dataset is given in Table 1, and the explanation of 7 features for LPG fuel is given in Table 2.
% The status property (flame extinction or non-extinction states) can be predicted by using six features in the dataset. Status and fuel features are categorical, while other features are numerical. 8,759 of the 17,442 test results are the non-extinguishing state of the flame. 8,683 of them are the extinction state of the flame. According to these numbers, it can be said that the class distribution of the dataset is almost equal."				
% 
% KEYWORDS: Fire, Extinguishing System, Sound wave, Machine learning, Fire safety, Low frequency, Acoustic

% Data properties and descriptions for liquid fuels				
% FEATURES		MIN/MAX VALUES					UNIT	DESCRIPTIONS	
% SIZE			7, 12, 14, 16, 20				cm		Recorded as 7 cm=1, 12 cm=2, 14 cm=3, 16 cm=4, 20 cm=5	
% FUEL			Gasoline, Kerosene, Thinner				Fuel type	
% DISTANCE		10 - 190						cm		
% DESIBEL		72 - 113						dB		
% AIRFLOW		0 - 17							m/s		
% FREQUENCY		1-75							Hz		
% STATUS		0, 1									0 indicates the non-extinction state, 1 indicates the extinction state	
% 				
% 			
% Data properties and descriptions for LPG				
% FEATURES		MIN/MAX VALUES									UNIT		DESCRIPTIONS	
% SIZE			Half throttle setting, Full throttle setting				Reocerded as Half throttle setting=6, Full throttle setting=7	
% FUEL			LPG															Fuel type	
% DISTANCE		10 - 190										cm		
% DESIBEL		72 - 113										dB		
% AIRFLOW		0 - 17											m/s		
% FREQUENCY		1-75											Hz		
% STATUS		0, 1														0 indicates the non-extinction state, 1 indicates the extinction state	
% 
% 
@RELATION Acoustic_Extinguisher_Fire_Dataset
@ATTRIBUTE SIZE	INTEGER
@ATTRIBUTE FUEL	{gasoline,thinner,kerosene,lpg}
@ATTRIBUTE DISTANCE	INTEGER
@ATTRIBUTE DESIBEL	INTEGER
@ATTRIBUTE AIRFLOW	REAL
@ATTRIBUTE FREQUENCY	INTEGER
@ATTRIBUTE CLASS	{0, 1}

@DATA
1,gasoline,40,91,11.5,8,1
1,gasoline,40,90,11.0,7,1
1,gasoline,40,87,11.2,6,1
1,gasoline,40,86,10.0,5,1
1,gasoline,40,85,9.2,4,1
1,gasoline,40,86,7.4,3,1
1,gasoline,40,80,4.5,2,1
1,gasoline,40,75,0.0,1,0
1,gasoline,50,95,0.0,75,0
1,gasoline,50,96,0.0,72,0
1,gasoline,50,96,0.0,70,0
1,gasoline,50,101,0.0,68,0
1,gasoline,50,101,0.0,67,0
1,gasoline,50,100,2.8,66,1
1,gasoline,50,104,4.0,65,1
1,gasoline,50,106,11.2,60,1
1,gasoline,50,94,6.4,55,1
1,gasoline,50,108,13.2,52,1
1,gasoline,50,108,12.5,51,1
1,gasoline,50,108,13.2,50,1
1,gasoline,50,108,13.4,48,1
1,gasoline,50,107,13.5,47,1
1,gasoline,50,106,13.3,46,1
1,gasoline,50,107,14.4,45,1
1,gasoline,50,92,14.9,44,1
1,gasoline,50,92,14.9,42,1
1,gasoline,50,92,13.6,40,1
1,gasoline,50,95,14.3,38,1
1,gasoline,50,108,14.5,36,1
1,gasoline,50,107,14.2,35,1
1,gasoline,50,107,14.1,34,1
1,gasoline,50,107,14.4,33,1
1,gasoline,50,106,14.1,32,1
1,gasoline,50,106,14.2,30,1
1,gasoline,50,108,13.5,28,1
1,gasoline,50,108,13.5,27,1
1,gasoline,50,107,13.3,26,1
1,gasoline,50,106,12.5,25,1
1,gasoline,50,105,12.9,24,1
1,gasoline,50,92,12.3,23,1
1,gasoline,50,106,12.5,22,1
1,gasoline,50,105,12.5,21,1
1,gasoline,50,105,11.5,20,1
1,gasoline,50,106,12.5,19,1
1,gasoline,50,104,12.0,18,1
1,gasoline,50,88,10.6,17,1
1,gasoline,50,93,10.4,16,1
1,gasoline,50,92,10.3,15,1
1,gasoline,50,90,11.0,14,1
1,gasoline,50,89,10.0,13,1
1,gasoline,50,92,9.9,12,1
1,gasoline,50,89,10.3,11,1
1,gasoline,50,90,10.3,10,1
1,gasoline,50,90,10.2,9,1
1,gasoline,50,91,11.2,8,1
1,gasoline,50,90,11.3,7,1
1,gasoline,50,90,10.5,6,1
1,gasoline,50,90,9.3,5,1
1,gasoline,50,86,8.3,4,1
1,gasoline,50,84,5.8,3,1
1,gasoline,50,82,3.2,2,0
1,gasoline,50,75,0.0,1,0
1,gasoline,60,102,0.0,75,0
1,gasoline,60,102,0.0,72,0
1,gasoline,60,102,0.0,70,0
1,gasoline,60,106,0.0,68,0
1,gasoline,60,97,2.8,67,0
1,gasoline,60,102,3.7,66,1
1,gasoline,60,103,4.4,65,1
1,gasoline,60,95,9.5,60,1
1,gasoline,60,107,11.0,55,1
1,gasoline,60,106,11.0,52,1
1,gasoline,60,105,11.6,51,1
1,gasoline,60,105,12.5,50,1
1,gasoline,60,108,12.6,48,1
1,gasoline,60,110,13.8,47,1
1,gasoline,60,109,13.8,46,1
1,gasoline,60,108,14.2,45,1
1,gasoline,60,108,14.2,44,1
1,gasoline,60,107,14.8,42,1
1,gasoline,60,107,13.8,40,1
1,gasoline,60,108,14.6,38,1
1,gasoline,60,107,14.4,36,1
1,gasoline,60,108,14.5,35,1
1,gasoline,60,108,14.1,34,1
1,gasoline,60,107,14.2,33,1
1,gasoline,60,107,14.2,32,1
1,gasoline,60,106,14.0,30,1
1,gasoline,60,107,13.6,28,1
1,gasoline,60,108,13.5,27,1
1,gasoline,60,106,12.6,26,1
1,gasoline,60,106,12.5,25,1
1,gasoline,60,106,12.5,24,1
1,gasoline,60,105,12.2,23,1
1,gasoline,60,107,12.3,22,1
1,gasoline,60,105,12.3,21,1
1,gasoline,60,104,12.0,20,1
1,gasoline,60,90,12.2,19,1
1,gasoline,60,90,11.9,18,1
1,gasoline,60,89,11.5,17,1
1,gasoline,60,92,10.9,16,1
1,gasoline,60,89,11.2,15,1
1,gasoline,60,88,11.0,14,1
1,gasoline,60,86,9.5,13,1
1,gasoline,60,90,9.6,12,1
1,gasoline,60,90,9.3,11,1
1,gasoline,60,88,9.9,10,1
1,gasoline,60,90,10.7,9,1
1,gasoline,60,91,11.0,8,1
1,gasoline,60,90,10.6,7,1
1,gasoline,60,87,10.2,6,1
1,gasoline,60,88,9.7,5,1
1,gasoline,60,87,8.6,4,1
1,gasoline,60,85,5.8,3,0
1,gasoline,60,83,3.4,2,0
1,gasoline,60,84,0.0,1,0
1,gasoline,70,96,0.0,75,0
1,gasoline,70,103,0.0,72,0
1,gasoline,70,105,0.0,70,0
1,gasoline,70,104,0.0,68,0
1,gasoline,70,103,1.9,67,0
1,gasoline,70,102,2.8,66,1
1,gasoline,70,102,3.2,65,1
1,gasoline,70,106,7.2,60,1
1,gasoline,70,106,7.5,55,1
1,gasoline,70,108,9.7,52,1
1,gasoline,70,103,9.5,51,1
1,gasoline,70,103,10.6,50,1
1,gasoline,70,105,11.0,48,1
1,gasoline,70,105,12.2,47,1
1,gasoline,70,106,12.0,46,1
1,gasoline,70,106,12.5,45,1
1,gasoline,70,106,12.5,44,1
1,gasoline,70,108,12.9,42,1
1,gasoline,70,107,13.2,40,1
1,gasoline,70,108,13.5,38,1
1,gasoline,70,106,13.5,36,1
1,gasoline,70,107,13.6,35,1
1,gasoline,70,106,13.0,34,1
1,gasoline,70,91,12.9,33,1
1,gasoline,70,106,12.6,32,1
1,gasoline,70,90,13.0,30,1
1,gasoline,70,92,13.3,28,1
1,gasoline,70,95,12.9,27,1
1,gasoline,70,106,12.0,26,1
1,gasoline,70,106,11.6,25,1
1,gasoline,70,105,11.6,24,1
1,gasoline,70,95,11.2,23,1
1,gasoline,70,107,10.7,22,1
1,gasoline,70,104,10.9,21,1
1,gasoline,70,104,11.0,20,1
1,gasoline,70,92,11.2,19,1
1,gasoline,70,91,11.0,18,1
1,gasoline,70,88,10.7,17,1
1,gasoline,70,92,10.6,16,1
1,gasoline,70,90,10.7,15,1
1,gasoline,70,87,10.6,14,1
1,gasoline,70,86,9.3,13,1
1,gasoline,70,89,8.8,12,1
1,gasoline,70,88,8.6,11,1
1,gasoline,70,88,8.3,10,1
1,gasoline,70,89,9.3,9,1
1,gasoline,70,90,9.5,8,1
1,gasoline,70,90,10.2,7,1
1,gasoline,70,87,10.3,6,1
1,gasoline,70,86,9.5,5,1
1,gasoline,70,87,8.1,4,1
1,gasoline,70,86,5.8,3,1
1,gasoline,70,80,3.8,2,0
1,gasoline,70,75,0.0,1,0
1,gasoline,80,96,0.0,75,0
1,gasoline,80,102,0.0,72,0
1,gasoline,80,102,0.0,70,0
1,gasoline,80,102,0.0,68,0
1,gasoline,80,96,2.0,67,0
1,gasoline,80,96,2.8,66,0
1,gasoline,80,105,2.8,65,0
1,gasoline,80,95,5.8,60,0
1,gasoline,80,94,6.5,55,0
1,gasoline,80,107,8.2,52,1
1,gasoline,80,103,8.2,51,1
1,gasoline,80,103,9.0,50,1
1,gasoline,80,106,10.5,48,1
1,gasoline,80,104,11.9,47,1
1,gasoline,80,106,11.2,46,1
1,gasoline,80,105,11.6,45,1
1,gasoline,80,106,12.0,44,1
1,gasoline,80,107,12.2,42,1
1,gasoline,80,106,11.6,40,1
1,gasoline,80,110,11.6,38,1
1,gasoline,80,106,12.3,36,1
1,gasoline,80,106,12.6,35,1
1,gasoline,80,105,12.5,34,1
1,gasoline,80,106,12.3,33,1
1,gasoline,80,106,11.8,32,1
1,gasoline,80,106,12.2,30,1
1,gasoline,80,106,11.6,28,1
1,gasoline,80,106,12.0,27,1
1,gasoline,80,105,11.3,26,1
1,gasoline,80,105,10.6,25,1
1,gasoline,80,104,10.4,24,1
1,gasoline,80,104,11.3,23,1
1,gasoline,80,106,10.6,22,1
1,gasoline,80,92,10.5,21,1
1,gasoline,80,104,10.0,20,1
1,gasoline,80,104,11.0,19,1
1,gasoline,80,90,10.7,18,1
1,gasoline,80,89,10.4,17,1
1,gasoline,80,91,10.3,16,1
1,gasoline,80,89,10.3,15,1
1,gasoline,80,90,10.6,14,1
1,gasoline,80,88,9.3,13,1
1,gasoline,80,91,8.6,12,1
1,gasoline,80,88,7.7,11,1
1,gasoline,80,92,7.9,10,1
1,gasoline,80,89,8.5,9,1
1,gasoline,80,90,9.3,8,1
1,gasoline,80,89,10.0,7,1
1,gasoline,80,88,9.5,6,1
1,gasoline,80,86,9.5,5,1
1,gasoline,80,87,7.7,4,1
1,gasoline,80,85,5.0,3,0
1,gasoline,80,80,3.2,2,0
1,gasoline,80,75,0.0,1,0
1,gasoline,90,103,0.0,75,0
1,gasoline,90,98,0.0,72,0
1,gasoline,90,104,0.0,70,0
1,gasoline,90,102,0.0,68,0
1,gasoline,90,96,2.1,67,0
1,gasoline,90,96,2.5,66,0
1,gasoline,90,105,3.1,65,0
1,gasoline,90,95,6.4,60,0
1,gasoline,90,106,6.1,55,0
1,gasoline,90,106,7.0,52,0
1,gasoline,90,104,8.5,51,0
1,gasoline,90,104,10.0,50,0
1,gasoline,90,106,10.9,48,1
1,gasoline,90,106,11.0,47,1
1,gasoline,90,106,12.0,46,1
1,gasoline,90,107,13.1,45,1
1,gasoline,90,106,11.9,44,1
1,gasoline,90,105,11.0,42,1
1,gasoline,90,106,11.0,40,1
1,gasoline,90,110,12.2,38,1
1,gasoline,90,106,12.2,36,1
1,gasoline,90,106,12.5,35,1
1,gasoline,90,106,12.6,34,1
1,gasoline,90,105,13.2,33,1
1,gasoline,90,106,12.6,32,1
1,gasoline,90,105,12.8,30,1
1,gasoline,90,106,12.8,28,1
1,gasoline,90,106,12.0,27,1
1,gasoline,90,105,11.5,26,1
1,gasoline,90,105,11.0,25,1
1,gasoline,90,104,10.6,24,1
1,gasoline,90,104,10.2,23,1
1,gasoline,90,105,10.6,22,1
1,gasoline,90,105,10.0,21,1
1,gasoline,90,104,10.2,20,1
1,gasoline,90,91,10.2,19,1
1,gasoline,90,90,11.2,18,1
1,gasoline,90,89,10.9,17,1
1,gasoline,90,102,10.9,16,1
1,gasoline,90,89,10.9,15,1
1,gasoline,90,90,10.4,14,1
1,gasoline,90,88,9.5,13,1
1,gasoline,90,90,8.2,12,1
1,gasoline,90,88,7.4,11,1
1,gasoline,90,89,7.9,10,1
1,gasoline,90,89,8.5,9,1
1,gasoline,90,90,8.9,8,1
1,gasoline,90,88,10.0,7,1
1,gasoline,90,87,9.7,6,1
1,gasoline,90,86,9.2,5,1
1,gasoline,90,86,7.5,4,0
1,gasoline,90,85,4.4,3,0
1,gasoline,90,84,3.2,2,0
1,gasoline,90,75,0.0,1,0
1,gasoline,100,98,0.0,75,0
1,gasoline,100,102,0.0,72,0
1,gasoline,100,106,0.0,70,0
1,gasoline,100,104,0.0,68,0
1,gasoline,100,103,1.5,67,0
1,gasoline,100,103,2.1,66,0
1,gasoline,100,105,2.5,65,0
1,gasoline,100,95,3.4,60,0
1,gasoline,100,105,4.4,55,0
1,gasoline,100,106,5.4,52,0
1,gasoline,100,102,4.9,51,0
1,gasoline,100,95,5.7,50,0
1,gasoline,100,105,7.1,48,0
1,gasoline,100,104,7.4,47,0
1,gasoline,100,104,8.6,46,0
