% Citation Request :
% 1. OZKAN IA., KOKLU M. and SARACOGLU R. (2021). Classification of Pistachio Species Using Improved K-NN Classifier. Progress in Nutrition, Vol. 23, N. 2, pp. DOI:10.23751/pn.v23i2.9686.  (Open Access) 

% 2. SINGH D, TASPINAR YS, KURSUN R, CINAR I, KOKLU M, OZKAN IA, LEE H-N., (2022). Classification and Analysis of Pistachio Species with Pre-Trained Deep Learning Models, Electronics, 11 (7), 981. https://doi.org/10.3390/electronics11070981. (Open Access) 
% 
% DATASET: https://www.muratkoklu.com/datasets/
% Article Download (PDF): https://www.mattioli1885journals.com/index.php/progressinnutrition/article/view/9686/9178
% https://doi.org/10.3390/electronics11070981. 
% DATASET: https://www.muratkoklu.com/datasets/

@RELATION Pistachio_28_Features_Dataset
@ATTRIBUTE Area	INTEGER
@ATTRIBUTE Perimeter	REAL
@ATTRIBUTE Major_Axis	REAL
@ATTRIBUTE Minor_Axis	REAL
@ATTRIBUTE Eccentricity	REAL
@ATTRIBUTE Eqdiasq	REAL
@ATTRIBUTE Solidity	REAL
@ATTRIBUTE Convex_Area	INTEGER
@ATTRIBUTE Extent	REAL
@ATTRIBUTE Aspect_Ratio	REAL
@ATTRIBUTE Roundness	REAL
@ATTRIBUTE Compactness	REAL
@ATTRIBUTE Shapefactor_1	REAL
@ATTRIBUTE Shapefactor_2	REAL
@ATTRIBUTE Shapefactor_3	REAL
@ATTRIBUTE Shapefactor_4	REAL
@ATTRIBUTE Mean_RR	REAL
@ATTRIBUTE Mean_RG	REAL
@ATTRIBUTE Mean_RB	REAL
@ATTRIBUTE StdDev_RR	REAL
@ATTRIBUTE StdDev_RG	REAL
@ATTRIBUTE StdDev_RB	REAL
@ATTRIBUTE Skew_RR	REAL
@ATTRIBUTE Skew_RG	REAL
@ATTRIBUTE Skew_RB	REAL
@ATTRIBUTE Kurtosis_RR	REAL
@ATTRIBUTE Kurtosis_RG	REAL
@ATTRIBUTE Kurtosis_RB	REAL
@ATTRIBUTE Class	{Kirmizi_Pistachio, Siirt_Pistachio}

@DATA
69391,1930.618,422.5333,223.0412,0.8493,297.2396,0.8948,77549,0.631,1.8944,0.2339,0.7035,0.0061,0.0032,0.4949,0.9375,225.5706,216.6729,205.293,28.9465,30.9597,27.7087,-0.7153,-0.6292,-0.6074,2.1826,2.1103,2.1709,Kirmizi_Pistachio
67309,2353.405,451.3162,201.3479,0.895,292.7464,0.8906,75573,0.6887,2.2415,0.1527,0.6487,0.0067,0.003,0.4207,0.9431,200.6694,190.1484,188.0638,17.7353,18.5728,17.9907,-0.3198,-0.3183,-0.4443,2.3792,2.3148,2.3697,Kirmizi_Pistachio
81656,1197.543,458.7472,237.3117,0.8558,322.4402,0.9164,89104,0.7482,1.9331,0.7155,0.7029,0.0056,0.0029,0.494,0.955,235.6477,229.9255,217.421,23.1077,26.2919,28.9966,-1.1977,-0.996,-0.687,3.4733,3.011,2.5498,Kirmizi_Pistachio
61725,1387.943,432.0616,194.6882,0.8927,280.3404,0.9016,68459,0.671,2.2192,0.4027,0.6488,0.007,0.0032,0.421,0.9343,209.1753,196.9905,190.6689,19.4613,21.9704,25.2491,0.1861,0.3289,0.3571,2.831,2.9414,2.7935,Kirmizi_Pistachio
81583,1295.3361,479.0619,228.7762,0.8786,322.296,0.928,87911,0.6971,2.094,0.611,0.6728,0.0059,0.0028,0.4526,0.9478,217.8999,205.6674,181.7298,20.9465,22.2324,23.4208,-0.3575,-0.2527,-0.0533,2.3909,2.4449,2.9353,Kirmizi_Pistachio
62862,1086.575,431.9981,188.4041,0.8999,282.9106,0.9662,65062,0.7527,2.2929,0.6691,0.6549,0.0069,0.003,0.4289,0.9834,225.3509,215.0178,197.0056,19.0376,20.5178,23.4907,-0.9143,-0.644,-0.5451,3.5481,3.06,2.9253,Kirmizi_Pistachio
84537,1181.153,461.5339,235.7771,0.8597,328.079,0.9858,85753,0.7674,1.9575,0.7615,0.7108,0.0055,0.0028,0.5053,0.9891,227.7404,218.8499,205.8871,21.5071,21.7216,20.8966,-0.8174,-0.5571,-0.139,3.3539,2.9637,2.654,Kirmizi_Pistachio
89306,1940.193,483.5113,249.2116,0.8569,337.2061,0.9492,94090,0.741,1.9402,0.2981,0.6974,0.0054,0.0028,0.4864,0.9437,233.3738,224.89,195.7141,22.3919,25.5935,26.6205,-0.98,-0.6158,-0.6159,3.1277,2.4443,2.6435,Kirmizi_Pistachio
70220,1217.2271,437.8213,214.6285,0.8716,299.0098,0.9267,75771,0.7174,2.0399,0.5956,0.6829,0.0062,0.0031,0.4664,0.9515,223.197,216.6638,199.5337,24.9774,26.879,29.7305,-0.3819,-0.3044,-0.6666,2.0673,2.0397,3.9372,Kirmizi_Pistachio
74843,1158.202,432.663,232.6371,0.8431,308.6957,0.9543,78426,0.7205,1.8598,0.7011,0.7135,0.0058,0.0031,0.5091,0.9467,230.0493,218.5451,196.9696,20.7384,22.433,24.2175,-0.9192,-0.5217,-0.2223,3.4573,2.8285,2.7875,Kirmizi_Pistachio
87771,1319.517,454.6037,252.8515,0.831,334.2955,0.9446,92915,0.7355,1.7979,0.6335,0.7354,0.0052,0.0029,0.5407,0.9722,218.9899,206.2955,194.3951,20.7218,21.5898,21.1319,-0.7997,-0.6571,0.0247,3.0157,2.8284,3.206,Kirmizi_Pistachio
91806,1399.255,460.7054,260.789,0.8244,341.8933,0.9639,95243,0.7371,1.7666,0.5892,0.7421,0.005,0.0028,0.5507,0.9729,225.077,212.2378,197.4395,21.2448,20.7639,19.7871,-1.2089,-1.0749,-0.4412,3.7793,3.593,3.614,Kirmizi_Pistachio
63199,1236.666,421.4809,196.3623,0.8848,283.6679,0.9622,65683,0.589,2.1464,0.5193,0.673,0.0067,0.0031,0.453,0.9723,211.9177,204.0984,202.6804,18.8267,19.7538,22.1725,-0.2709,0.0308,0.0961,3.1344,3.1309,2.8418,Kirmizi_Pistachio
74213,1158.459,437.698,224.3232,0.8587,307.3938,0.9472,78352,0.755,1.9512,0.6949,0.7023,0.0059,0.003,0.4932,0.9624,227.2596,216.8054,197.8882,21.955,22.6716,27.8671,-0.8484,-0.574,-0.5846,3.1144,2.7274,3.7033,Kirmizi_Pistachio
37570,1341.147,344.9283,143.1741,0.9098,218.7135,0.8697,43197,0.6135,2.4092,0.2625,0.6341,0.0092,0.0038,0.4021,0.9686,200.687,195.5711,184.0665,17.8458,19.2404,18.4744,-0.5886,-0.5648,-0.6013,2.2791,2.2169,2.6701,Kirmizi_Pistachio
77789,1362.205,465.1488,217.4065,0.8841,314.7126,0.9473,82118,0.7536,2.1395,0.5268,0.6766,0.006,0.0028,0.4578,0.9794,225.0057,209.4197,180.2749,25.3248,27.3966,27.6683,-0.6505,-0.4271,-0.2124,2.2584,2.1556,2.0326,Kirmizi_Pistachio
84672,1334.7111,489.0739,221.9485,0.8911,328.3409,0.9719,87123,0.7397,2.2035,0.5973,0.6714,0.0058,0.0026,0.4507,0.9932,225.0395,217.8968,205.051,28.2632,30.3372,27.5822,-0.6172,-0.4561,-0.4167,2.1969,1.8632,1.9638,Kirmizi_Pistachio
58424,1753.005,397.4376,192.0517,0.8755,272.7412,0.9236,63260,0.6785,2.0694,0.2389,0.6862,0.0068,0.0033,0.4709,0.9746,199.1602,187.2128,171.0193,16.8339,16.7388,16.0882,0.1029,0.1826,-0.0295,2.7645,2.9797,3.6958,Kirmizi_Pistachio
93340,1290.415,511.8364,235.6817,0.8877,344.7379,0.971,96123,0.7512,2.1717,0.7044,0.6735,0.0055,0.0025,0.4536,0.9852,228.6958,220.3666,202.0322,24.9579,25.7046,26.6829,-1.0746,-0.8653,-0.7947,3.2581,2.9011,2.7968,Kirmizi_Pistachio
75077,1120.8929,458.377,211.5717,0.8871,309.1779,0.9779,76774,0.7671,2.1665,0.7509,0.6745,0.0061,0.0028,0.455,0.9857,203.2472,189.613,167.7822,15.9271,16.1165,17.8756,0.2258,0.3356,0.6175,3.3246,3.3108,3.9591,Kirmizi_Pistachio
72345,1368.713,418.4174,224.5171,0.8438,303.5004,0.9387,77070,0.6268,1.8636,0.4853,0.7254,0.0058,0.0031,0.5261,0.9805,205.9863,191.1572,174.9652,17.966,19.8557,24.1313,0.0919,0.5472,0.8493,3.4213,4.1894,4.6525,Kirmizi_Pistachio
78461,1203.48,437.4697,232.9623,0.8464,316.0691,0.9698,80902,0.7554,1.8779,0.6807,0.7225,0.0056,0.003,0.522,0.9802,218.232,207.3102,186.9864,19.6957,19.9517,20.6927,-0.8413,-0.5184,-0.2935,3.5772,3.3029,3.7136,Kirmizi_Pistachio
76915,1097.152,442.0767,224.2478,0.8618,312.9396,0.9841,78158,0.7652,1.9714,0.8029,0.7079,0.0057,0.0029,0.5011,0.9879,212.2606,200.7227,185.2119,15.5578,15.5805,16.346,-0.8165,-0.6485,-0.1365,3.5345,3.1554,2.8361,Kirmizi_Pistachio
92480,1255.385,500.6346,240.093,0.8775,343.146,0.9685,95490,0.7341,2.0852,0.7374,0.6854,0.0054,0.0026,0.4698,0.9796,218.2948,205.093,179.9751,15.5952,15.2488,14.9603,-0.9309,-0.7434,0.2402,4.1126,3.9093,5.2246,Kirmizi_Pistachio
73059,1628.4709,427.7905,230.3421,0.8427,304.9944,0.9194,79460,0.6748,1.8572,0.3462,0.713,0.0059,0.0032,0.5083,0.944,219.8519,211.306,192.8193,25.1774,25.9284,24.3732,-0.621,-0.5268,-0.3885,2.4261,2.308,2.271,Kirmizi_Pistachio
61791,1528.2679,414.7242,207.9009,0.8653,280.4902,0.893,69194,0.6591,1.9948,0.3325,0.6763,0.0067,0.0034,0.4574,0.9125,199.6463,194.9932,188.7457,19.6495,20.09,18.9282,-0.4409,-0.4321,-0.5439,2.0941,2.1019,2.3503,Kirmizi_Pistachio
85157,1363.88,499.3797,222.86,0.8949,329.2799,0.9562,89054,0.6959,2.2408,0.5753,0.6594,0.0059,0.0026,0.4348,0.9742,223.056,212.3144,189.5989,25.1832,25.5563,26.0915,-0.8502,-0.8047,-0.751,2.6205,2.476,2.4439,Kirmizi_Pistachio
70770,1384.416,452.0448,210.2005,0.8853,300.1786,0.9106,77716,0.6567,2.1505,0.464,0.664,0.0064,0.003,0.441,0.9483,200.0408,183.8242,159.0559,21.4419,19.8831,16.1355,0.4514,0.5612,0.1499,2.6018,2.8725,3.1142,Kirmizi_Pistachio
47845,949.563,365.4784,181.8247,0.8675,246.816,0.8916,53660,0.7029,2.0101,0.6668,0.6753,0.0076,0.0038,0.4561,0.9167,213.1469,195.3503,170.9706,24.4043,24.3386,23.0578,-0.4853,-0.4406,-0.3024,2.1714,2.2337,2.4905,Kirmizi_Pistachio
73577,1087.76,428.6543,222.8309,0.8543,306.0738,0.9841,74762,0.7061,1.9237,0.7814,0.714,0.0058,0.003,0.5098,0.9808,218.4159,214.8185,204.8122,26.008,27.0268,25.5985,-0.8739,-0.8287,-0.6949,2.5291,2.4071,2.1968,Kirmizi_Pistachio
84056,1385.101,464.739,237.5981,0.8594,327.1443,0.9427,89167,0.7534,1.956,0.5506,0.7039,0.0055,0.0028,0.4955,0.9692,202.3407,193.0429,179.6327,20.2187,21.2905,22.0999,-0.2868,-0.2506,0.0076,2.5798,2.4713,2.6831,Kirmizi_Pistachio
62609,1050.494,385.9383,208.47,0.8416,282.3407,0.9746,64238,0.726,1.8513,0.713,0.7316,0.0062,0.0033,0.5352,0.9908,223.7119,219.4779,204.1519,25.8184,26.7676,27.0931,-0.819,-0.8021,-0.7922,2.7205,2.68,2.6226,Kirmizi_Pistachio
31446,1127.548,360.3897,133.5096,0.9288,200.0957,0.7601,41369,0.4853,2.6994,0.3108,0.5552,0.0115,0.0042,0.3083,0.8321,191.3149,177.4788,171.1306,17.3347,19.473,15.6796,-0.0862,0.0379,0.0182,2.1804,2.192,2.7748,Kirmizi_Pistachio
76194,1344.9139,458.8042,213.5682,0.8851,311.4695,0.9694,78600,0.7459,2.1483,0.5293,0.6789,0.006,0.0028,0.4609,0.9901,214.8498,201.556,173.1586,24.5509,26.2202,33.4298,-0.119,-0.0103,0.0221,2.1865,2.1457,2.6244,Kirmizi_Pistachio
96528,1227.693,503.6039,248.7427,0.8695,350.5756,0.9915,97353,0.7454,2.0246,0.8048,0.6961,0.0052,0.0026,0.4846,0.9811,211.9689,202.4616,173.8936,18.6315,18.6554,20.5713,-0.3775,-0.3697,-0.6632,2.5919,2.6381,3.3746,Kirmizi_Pistachio
79797,1234.702,477.1937,215.0855,0.8927,318.7486,0.9729,82021,0.7636,2.2186,0.6578,0.668,0.006,0.0027,0.4462,0.9899,226.1374,217.2583,197.5192,23.7884,25.2223,25.0782,-0.978,-0.8989,-0.7565,3.1118,2.8756,2.6662,Kirmizi_Pistachio
86028,2224.957,461.7926,250.666,0.8399,330.9596,0.9155,93967,0.7231,1.8423,0.2184,0.7167,0.0054,0.0029,0.5136,0.9463,215.5451,201.6227,183.3851,25.4078,26.1803,22.7293,-0.3159,-0.2638,-0.4171,2.1288,2.1939,2.4394,Kirmizi_Pistachio
65410,1032.755,412.5824,205.1103,0.8677,288.5872,0.9809,66683,0.7523,2.0115,0.7707,0.6995,0.0063,0.0031,0.4893,0.9841,195.866,181.3213,155.5473,16.6564,16.4329,16.6507,0.2336,0.2106,0.2803,2.2609,2.1261,2.7129,Kirmizi_Pistachio
65313,1188.033,447.5455,188.3187,0.9072,288.3732,0.9602,68022,0.6756,2.3765,0.5815,0.6443,0.0069,0.0029,0.4152,0.9867,194.7359,187.0758,175.9655,16.6322,16.6657,15.4505,-0.2531,0.1122,0.5144,3.5891,3.7893,4.0499,Kirmizi_Pistachio
50619,1564.62,388.0582,246.0368,0.7733,253.8703,0.6643,76196,0.499,1.5772,0.2598,0.6542,0.0077,0.0049,0.428,0.675,222.9529,221.2356,205.055,22.365,23.3078,20.5673,-1.0605,-0.9783,-0.7568,3.5701,3.4527,3.9219,Kirmizi_Pistachio
90439,1240.946,492.7342,238.3388,0.8752,339.3383,0.9755,92710,0.7723,2.0674,0.738,0.6887,0.0054,0.0026,0.4743,0.9805,231.9088,228.6062,211.8017,22.5406,23.7834,23.8603,-1.1692,-1.0422,-0.8283,3.91,3.51,2.9709,Kirmizi_Pistachio
92442,1264.097,525.7289,224.7688,0.904,343.0755,0.989,93467,0.7268,2.339,0.727,0.6526,0.0057,0.0024,0.4258,0.9961,226.8165,215.4295,190.713,20.0414,19.4304,20.3142,-1.2617,-1.2179,-0.8066,4.6502,4.4497,3.439,Kirmizi_Pistachio
93501,1303.598,517.9537,231.263,0.8948,345.035,0.9784,95561,0.7334,2.2397,0.6914,0.6662,0.0055,0.0025,0.4438,0.9939,221.1264,216.5794,204.5755,20.9773,22.0968,25.3662,-0.8635,-0.6695,-0.1319,3.4538,3.1398,2.6763,Kirmizi_Pistachio
69088,1402.432,460.5004,202.9455,0.8977,296.5899,0.9128,75684,0.6446,2.2691,0.4414,0.6441,0.0067,0.0029,0.4148,0.9412,201.0038,189.5058,178.2268,19.8133,20.8915,22.4669,-0.2427,-0.2137,-0.3896,2.231,2.3179,2.4591,Kirmizi_Pistachio
64307,1225.937,402.5959,220.378,0.8369,286.1437,0.8963,71746,0.7242,1.8268,0.5377,0.7107,0.0063,0.0034,0.5052,0.9228,223.1021,209.7374,182.7467,25.9163,26.8251,24.8247,-0.7175,-0.686,-0.5288,2.3808,2.4621,2.4104,Kirmizi_Pistachio
72065,1333.058,414.2928,229.8281,0.832,302.9125,0.938,76825,0.7062,1.8026,0.5096,0.7312,0.0057,0.0032,0.5346,0.9637,211.5884,200.9944,191.4249,23.7244,26.1234,24.8787,-0.2283,-0.2063,0.0274,2.3133,2.3137,2.4353,Kirmizi_Pistachio
57068,1581.246,403.2427,183.9032,0.8899,269.5575,0.933,61167,0.6873,2.1927,0.2868,0.6685,0.0071,0.0032,0.4469,0.9798,206.4372,201.6853,187.8042,20.7138,22.9081,24.2483,-0.6657,-0.5766,-0.5467,2.5999,2.4709,2.5521,Kirmizi_Pistachio
65427,1047.767,421.7471,206.7846,0.8716,288.6248,0.9497,68891,0.654,2.0395,0.7489,0.6844,0.0064,0.0032,0.4683,0.9552,241.2752,235.5646,215.4445,21.5618,24.9651,26.2413,-1.8666,-1.4965,-1.3788,5.9668,4.6259,4.5935,Kirmizi_Pistachio
77050,1725.632,438.9074,247.6871,0.8256,313.2141,0.8931,86274,0.7109,1.772,0.3252,0.7136,0.0057,0.0032,0.5093,0.9024,211.801,206.0365,188.7159,21.6628,27.2564,28.0423,-0.3805,-0.4121,-0.8543,2.372,2.3317,4.5537,Kirmizi_Pistachio
66535,1659.483,404.52,224.5332,0.8318,291.0584,0.9149,72723,0.7063,1.8016,0.3036,0.7195,0.0061,0.0034,0.5177,0.9327,218.6644,205.975,181.511,23.1153,23.2803,22.2374,-0.6402,-0.5813,-0.5161,2.5287,2.4642,2.6226,Kirmizi_Pistachio
77361,1399.844,441.3551,231.3814,0.8516,313.8456,0.9545,81047,0.6335,1.9075,0.4961,0.7111,0.0057,0.003,0.5057,0.9645,217.7587,206.3488,189.3099,23.0221,24.9661,26.0629,-0.2586,-0.1664,0.0749,2.5265,2.3105,2.276,Kirmizi_Pistachio
66351,1271.3149,427.1792,204.8042,0.8776,290.6557,0.9283,71474,0.74,2.0858,0.5159,0.6804,0.0064,0.0031,0.463,0.9656,225.21,218.6234,197.6956,24.3484,26.2233,27.0083,-0.9928,-0.9611,-0.5956,3.0541,2.9383,2.8272,Kirmizi_Pistachio
71601,2099.2209,442.7674,216.0146,0.8729,301.9358,0.8732,82001,0.6963,2.0497,0.2042,0.6819,0.0062,0.003,0.465,0.9532,194.4442,184.9853,156.7935,14.3835,16.053,24.4408,-0.1491,0.0357,0.2249,3.0782,2.7742,2.8133,Kirmizi_Pistachio
90965,2020.76,476.796,251.2151,0.8499,340.3237,0.9449,96265,0.6642,1.898,0.2799,0.7138,0.0052,0.0028,0.5095,0.967,220.876,210.5031,202.3483,25.0287,27.8696,24.6164,-0.4756,-0.4759,-0.379,2.2827,2.2546,2.2193,Kirmizi_Pistachio
80126,1643.757,469.2585,223.1923,0.8796,319.4051,0.9537,84017,0.7214,2.1025,0.3727,0.6807,0.0059,0.0028,0.4633,0.9741,223.1454,219.2824,206.5625,26.1513,27.5957,27.9306,-0.6964,-0.6629,-0.6008,2.426,2.3745,2.2641,Kirmizi_Pistachio
62512,995.819,388.3713,209.3298,0.8423,282.1219,0.9629,64918,0.7729,1.8553,0.7922,0.7264,0.0062,0.0033,0.5277,0.979,231.2952,228.72,215.86,25.4089,26.3689,26.5161,-1.1523,-1.0813,-0.9142,3.3501,3.2083,2.9598,Kirmizi_Pistachio
70937,1640.005,460.0704,207.4556,0.8926,300.5325,0.8903,79679,0.6278,2.2177,0.3314,0.6532,0.0065,0.0029,0.4267,0.9463,201.183,188.2395,177.1425,20.1824,21.8364,24.5128,-0.0899,0.0313,0.1911,2.6825,2.7711,2.962,Kirmizi_Pistachio
60803,1317.906,413.886,195.5904,0.8813,278.2387,0.9106,66769,0.6834,2.1161,0.4399,0.6723,0.0068,0.0032,0.4519,0.9563,218.2168,214.4755,203.7294,22.7933,23.7798,22.8103,-1.011,-0.931,-0.6495,3.2229,3.1221,3.07,Kirmizi_Pistachio
67632,1172.774,450.7991,199.7804,0.8964,293.448,0.9534,70939,0.68,2.2565,0.6179,0.651,0.0067,0.003,0.4237,0.9562,216.6656,203.0857,187.1859,20.9268,21.2323,18.1066,-0.7308,-0.7743,-1.3064,3.0925,3.1717,4.7187,Kirmizi_Pistachio
73346,1379.818,450.6285,211.6458,0.8828,305.5929,0.9272,79103,0.7214,2.1292,0.4841,0.6781,0.0061,0.0029,0.4599,0.9792,215.5286,202.3314,178.4084,21.6672,23.1048,23.135,-0.7397,-0.6242,-0.5643,2.5686,2.4626,2.6058,Kirmizi_Pistachio
90838,1273.083,485.8356,243.6367,0.8652,340.0861,0.9579,94826,0.7631,1.9941,0.7043,0.7,0.0053,0.0027,0.49,0.9771,234.3865,222.939,201.9248,25.7879,28.5475,26.0322,-1.2758,-0.9428,-0.8945,3.6799,3.0943,2.9938,Kirmizi_Pistachio
50909,1224.295,376.1862,182.7449,0.8741,254.5965,0.9119,55829,0.6996,2.0585,0.4268,0.6768,0.0074,0.0036,0.458,0.9429,203.5668,198.9911,193.1708,22.0532,24.0621,25.2124,-0.4444,-0.3353,-0.2056,2.2177,2.1388,2.2689,Kirmizi_Pistachio
81491,1124.584,454.8868,230.6578,0.8619,322.1142,0.9895,82357,0.7996,1.9721,0.8097,0.7081,0.0056,0.0028,0.5014,0.9889,222.8774,213.3098,199.8548,16.888,17.9896,19.5425,-1.1852,-0.7547,-0.0599,5.0786,4.0529,3.1483,Kirmizi_Pistachio
78375,1327.229,459.6328,222.1572,0.8754,315.8958,0.9653,81193,0.6961,2.069,0.5591,0.6873,0.0059,0.0028,0.4724,0.9773,218.4556,210.1441,193.5345,24.578,26.4171,28.4643,-0.5302,-0.4102,-0.2805,2.5166,2.3345,2.1471,Kirmizi_Pistachio
88446,1305.201,494.5618,233.0013,0.8821,335.5785,0.9528,92825,0.734,2.1226,0.6524,0.6785,0.0056,0.0026,0.4604,0.9773,219.3879,208.4281,195.0804,22.3299,23.5579,23.0209,-0.8591,-0.837,-0.739,2.9174,2.862,2.8691,Kirmizi_Pistachio
76645,1177.611,443.8281,224.6561,0.8624,312.3899,0.9531,80416,0.7404,1.9756,0.6945,0.7039,0.0058,0.0029,0.4954,0.9787,211.0945,197.8813,185.0269,15.4917,16.2551,16.4886,-0.7568,-0.5415,0.3216,4.4007,4.5554,5.7547,Kirmizi_Pistachio
86335,1204.7581,474.8975,233.5128,0.8708,331.5496,0.9882,87363,0.751,2.0337,0.7475,0.6981,0.0055,0.0027,0.4874,0.9913,226.4769,212.7737,193.6587,20.0267,19.2591,18.6172,-1.3238,-1.1728,-0.5252,5.0333,4.6017,3.3911,Kirmizi_Pistachio
50943,1183.611,411.1484,162.1829,0.9189,254.6815,0.9226,55216,0.6845,2.5351,0.457,0.6194,0.0081,0.0032,0.3837,0.9727,206.367,199.2313,193.6548,23.7973,25.8068,23.5622,-0.2842,-0.1541,-0.0377,2.1345,2.0688,2.2277,Kirmizi_Pistachio
86122,1221.968,484.0731,228.6191,0.8814,331.1404,0.9761,88229,0.731,2.1174,0.7248,0.6841,0.0056,0.0027,0.468,0.9908,226.1721,216.1555,199.2589,22.7148,22.8639,24.4787,-1.0932,-1.0404,-0.5423,3.4617,3.4535,3.0812,Kirmizi_Pistachio
