@relation 'click_prediction_smallest_balanced'

@attribute class {0,1}
@attribute impression numeric
@attribute url_hash numeric
@attribute ad_id numeric
@attribute advertiser_id numeric
@attribute depth numeric
@attribute position numeric
@attribute query_id numeric
@attribute keyword_id numeric
@attribute title_id numeric
@attribute description_id numeric
@attribute user_id numeric

@data
0,1,9.1772172117633536E18,4428126,28708,1,1,23775574,590,451,665,0
0,1,1.205787899908646E19,20163579,27961,1,1,792,1781,4341,5053,13912645
0,1,5.8882774317833359E18,7955184,6520,2,2,183,634,1179,1647,14944105
1,1,1.205787899908646E19,20222970,27961,1,1,91,184,378,1134,18935821
0,1,4.1337694117587937E18,3741873,11215,2,1,9748,8376,24236,24808,7312301
0,1,6.4874139148590049E18,6130134,19772,2,2,205,3331,8510,9616,81443
0,1,1.41403004354181862E18,20384437,1502,1,1,1136,3864,76,101,1200022
0,1,1.578511299927674E19,20908196,35088,3,2,0,0,2,5,4797223
1,10,1.4340390157469403E19,9027034,23808,2,2,9516,12032,4007,4338,712147
0,2,2.29176766581462144E18,21103892,24376,2,1,8,88,206,291,1290166
0,1,1.1570917665805173E19,20757913,33493,1,1,253476,4971,17517,173,5372434
0,1,4.0411121688647393E18,21916225,37839,3,1,14763,86365,173303,6564,1762029
1,1,1.4340390157469403E19,21163923,23808,2,1,5359555,750,1867,34,3603319
1,1,1.4340390157469403E19,21360106,23777,2,1,549683,132,7892,548,6490878
0,1,1.5145480155589095E19,20888595,23807,2,1,23,48,5,11,7560018
1,1,2.6928596198512824E18,21733734,2051,2,1,49450,105021,52367,231645,131825
0,1,1.034946865176566E19,21522776,37422,2,1,0,0,25,4,14745601
0,1,5.9004917047584102E18,1269259,11759,1,1,24705,34315,5013,182210,696977
0,1,8.0285373127483197E18,21872818,37834,3,3,46904,16135,20287,5733,1314555
0,1,4.9491971738031217E18,20664776,24107,3,2,1233805,9833,447204,364706,0
0,1,1.205787899908646E19,20197138,27961,1,1,7020,4530,4574,5850,766227
0,1,8.8480216950830766E18,20035409,2387,2,1,843013,3791,7074,8106,0
0,1,1.1751890852108218E19,6575524,23801,1,1,519952,10637,238,430,2496276
1,1,1.3756257544627677E19,10793633,24354,3,3,1490831,1701,6126,7873,1390161
0,2,7.7032790697015429E18,21299653,4983,1,1,3192101,21800,27086,26629,0
0,1,4.9692912003460864E18,1673335,3383,1,1,20064973,6547,6796,35780,1158
0,1,1.4340390157469403E19,20643970,23808,1,1,3847117,20,9,9,2944024
0,1,8.5254606864500419E18,20089700,13242,2,1,14120545,86704,115087,25116,1902393
1,1,4.8767020671739507E17,20590904,24027,2,1,113675,814,80943,92349,6347287
0,1,1.4340390157469403E19,10110402,23808,1,1,18319627,35,58,10,0
0,1,5.5111324610218004E18,21230034,10040,2,2,5790,1737,1967,1699,984324
0,1,2.4347563200652785E18,20119807,29273,2,1,18,28,481,636,412531
0,1,1.5145480155589095E19,21156859,23807,3,2,6596877,94,826,8,9382236
0,1,1.55367451466898278E18,20083853,23780,2,1,2348,2385,114,154,879353
0,1,1.205787899908646E19,20192676,27961,1,1,19462761,1121,2332,3122,0
0,1,1.205787899908646E19,20157091,27961,2,2,151,138,556,838,13941201
0,1,1.194581708171779E19,8604986,12755,2,1,1717,1886,2885,3622,13511508
0,1,1.2295382699543765E19,20137943,9898,1,1,410,451,1713,1905,4557023
0,1,9.0040358806652795E18,20595493,33800,2,1,2738463,234,473,732,2362323
0,1,1.4340390157469403E19,20789169,23808,1,1,264785,2808,5047,1451,1540951
0,2,1.86074197364492928E17,7254544,8275,3,1,679067,35155,387703,317860,0
0,1,1.7656932240573012E19,20212176,32392,1,1,2673003,118,59034,53222,3490673
0,1,7.9039145283201915E18,20623354,2012,2,1,8736026,554,998,214,2708115
0,1,7.9039145283201915E18,21162543,1325,1,1,2983430,238,727,1095,1789575
0,1,5.1066737696775834E18,2537487,3830,2,2,14178497,5321,35831,42160,893364
0,1,1.205787899908646E19,20192676,27961,2,1,30,39,131,436,654052
0,1,1.4340390157469403E19,21163923,23808,2,1,1736059,336,539,37,7040048
0,146,5.0799010680513905E18,4320077,25928,3,2,4755,11532,62388,56192,3188
1,1,8.2889303632306094E18,20915048,29706,2,2,306537,37132,39079,251,0
0,1,7.4994542729910804E18,21755123,11121,1,1,431,583,3872,4848,12126314
0,1,1.4340390157469403E19,21360118,23777,2,1,15283453,404,3891,3925,7276288
0,1,5.937256857527595E18,21299885,34139,2,2,197,114,8333,6166,2423479
0,1,1.457854145126214E19,4425796,28411,2,1,20662,5188,1976,2205,30721
0,1,8.0216123625032018E18,4420724,12319,1,1,96304,1703,50686,46212,839960
0,1,6.7915650215194634E18,21920339,37956,1,1,92665,288,93,171,920217
0,1,1.205787899908646E19,20183535,27961,3,3,290084,595,12789,9106,0
1,1,2.4347563200652785E18,21173726,29273,3,1,10593,1928,98,69,0
0,1,1.271304951377705E19,20650525,23382,3,3,16523,143470,549507,12006,2062744
0,1,2.9947789887821281E18,21100778,35482,2,1,40636,1629,1129,1334,293904
0,1,2.00214305896498483E18,20188698,24124,2,1,2,266,384,255,11676900
0,1,1.205787899908646E19,20185462,27961,1,1,192178,3122,4378,5512,1409533
0,1,1.578511299927674E19,20908196,35088,2,2,0,0,2,5,16417688
1,2,1.4340390157469403E19,3207836,23777,3,1,75707,2417,1833,2082,0
0,1,1.5859647530187389E19,2989726,23778,1,1,82,104,62,79,6448469
0,1,1.3503262172158704E19,1567244,1185,1,1,18062114,309,1341,2049,22418242
0,1,1.7428393905688543E19,21259533,30030,1,1,18539312,12685,29104,725,500016
0,1,4.1630925799635878E17,8880113,24686,3,1,6508206,87633,269405,224253,1818771
0,1,1.4340390157469403E19,3200227,23777,2,2,11972,2325,13701,90,5933598
0,1,1.4340390157469403E19,21360120,23777,3,2,779,932,6238,563,3299717
0,1,7.9039145283201915E18,21162350,1325,1,1,238,168,318,925,20140175
0,1,4.1628965881604818E18,20315640,27951,3,1,60554,55426,68916,69118,13103
0,3,1.7611115454105706E19,2582085,23955,1,1,21349280,46354,51260,36565,0
1,1,7.9039145283201915E18,20885621,2010,3,1,4199,4777,9707,10962,1334495
1,1,5.1206834405104681E18,8676731,1268,2,2,12486,1210,4628,7499,778116
0,1,1.205787899908646E19,20157628,27961,3,3,0,0,7,14,3114246
0,1,8.8145497198534666E18,2181111,4098,2,2,1323,3847,48303,51793,2920992
1,1,3.245954376546902E18,21344713,36612,3,1,6026,5187,22326,19760,1501717
1,1,1.41403004354181862E18,21246163,1502,3,2,166,443,459,601,293006
1,13,9.806838428950888E18,21811761,37737,2,2,8278,13917,20578,44093,0
0,5,1.4340390157469403E19,3207451,23777,3,3,400836,2704,1729,1993,0
0,1,1.6292555734935847E19,21441515,37024,3,3,14157,41491,423205,411976,632128
0,1,1.7584352906692375E19,21416553,85,2,1,3292,1280,47605,43599,761249
0,1,8.3234727566675108E18,21927086,38068,2,1,21,12,1521,863,539474
0,4,6.8300341513024492E18,22104003,23585,3,3,419449,2498,39437,2369,0
0,1,5.8512528144469361E18,20133625,28698,3,1,562,305,27813,23668,1766070
0,1,1.205787899908646E19,20157587,27961,3,3,0,0,7,14,4886299
1,3,1.5989049276530887E19,20314208,23823,2,1,97765,207596,5572,5875,157370
0,1,1.7190505978019734E19,21454537,36519,1,1,41339,11570,660433,886358,0
0,1,1.7190505978019734E19,21327618,36519,2,2,28240,57658,102477,89958,3913939
0,1,1.4340390157469403E19,21163927,23808,1,1,22421363,2185,4484,127,0
0,1,1.205787899908646E19,20180629,27961,3,2,83,34,328,455,502858
0,1,1.4340390157469403E19,3111383,23777,2,2,4354,3863,4965,5305,3072050
0,1,6.9128512869902531E18,20027162,18918,2,1,12758482,119884,1953045,1044343,5270550
0,1,7.9419526832915927E18,20024971,10935,3,2,263410,34705,292178,86300,0
0,2,1.511008931457547E19,21105783,20523,2,1,94969,53179,389607,184957,13918769
0,1,1.4600073692226415E19,21520682,4004,2,2,2298928,152,527,870,0
0,1,1.4170743816979116E19,3923565,1998,2,1,15888719,6064,1049,117499,5170126
0,1,1.4340390157469403E19,6435187,23777,2,1,4084684,18589,33308,31010,6382006
0,1,9.45917755559769E18,21163140,5466,3,3,929,1619,36810,65005,5043061
0,1,1.2972158645927619E19,10409436,29128,2,1,120,30,5815,5967,145676
0,1,8.3749719583882465E18,20813902,4832,1,1,1075,1375,1185,1567,13841235
0,1,1.4340390157469403E19,3126856,23777,3,1,7624043,17874,31300,29219,0
0,2,6.2287840661292913E18,9469232,1998,1,1,9942334,285649,840907,915,6277415
0,1,1.7162033426281167E19,21346998,941,2,1,2046704,18087,745946,638856,41820
0,1,1.7793055910913241E19,20664704,34007,2,2,1239709,33798,134246,121414,355727
0,1,1.205787899908646E19,20163606,27961,3,3,1119426,6564,48635,48428,0
0,1,9.740463035797752E18,21423329,11536,2,2,233060,2171,3090,3361,10341927
0,1,2.6709527232789048E18,20172874,23805,2,2,5,3,35,16,8596735
0,1,1.202444190604719E19,20379590,12074,3,2,6296210,85255,1379900,1173367,613208
0,2,1.5834117765003112E19,10406321,13927,2,2,4031,5293,9867,9456,276055
1,2,2.4127717961104635E18,20067139,23781,1,1,452397,1301,8,1,8933878
0,1,6.7150490022326559E18,3065545,23783,2,2,1825641,45,40,53,672330
0,1,4.006403344526142E18,21362252,36760,3,1,24586,18307,436224,486,6495365
0,1,4.1925334417061279E18,20684813,2533,3,3,307512,16484,32138,33986,0
0,1,1.321861440763957E19,21269930,2376,2,2,1513,811,358586,207376,7284577
0,1,1.4340390157469403E19,6435051,23777,1,1,16549,1322,867,1081,8304010
1,1,2.3146556001683169E18,3741657,15543,2,1,184478,138559,574321,537453,14026
0,1,1.33593611038038579E18,21381387,33847,2,2,18806,51182,300473,291165,0
0,1,1.7515035192534186E19,21333842,36608,3,3,8717,814,61237,266,1728388
0,1,1.205787899908646E19,20174701,27961,1,1,374977,22380,23276,24888,0
1,2,1.3322213530766359E19,21330717,16403,2,2,17536,64556,43129,39643,1250159
1,1,1.2949714071424942E19,21521631,37260,3,1,204533,1160480,3706656,135877,304841
0,1,1.4340390157469403E19,10397447,23808,1,1,13,21,16,15,23302161
0,2,1.303499524706142E19,6790485,27503,3,1,52314,100959,667850,500562,691452
0,1,1.417628673474559E19,8188454,24674,3,3,690619,115290,299044,304882,0
0,3,6.3240207938438052E18,20711342,27500,2,2,4,33,417,262,440292
0,1,8.1342641745108931E18,10593107,1268,1,1,221249,2408,1616,2,317123
1,1,1.608847813967667E19,5936161,11565,2,1,10119,3211,3104,3363,131808
0,1,1.4340390157469403E19,4980549,23777,2,1,15479413,2572,5663,9145,813657
0,1,1.136372424770545E19,20125811,30405,2,1,4132,11922,16453,55326,59729
0,1,1.6794704970244289E19,7206993,26286,1,1,511,355,1891,10054,15054370
0,3,2.00214305896498483E18,20606969,24124,2,1,641496,1197,119691,196743,0
0,1,1.3090221289647714E19,20174985,23795,1,1,31,198,3,7,22786206
0,1,1.504916786057005E19,8153972,13243,1,1,18000199,11449,139660,56892,10756598
0,5,1.523471329505401E19,4256011,23964,1,1,30640,43996,90241,81946,48851
0,3,1.7190505978019734E19,21723619,36519,3,3,4785,499,6782,3378,138009
0,2,1.4340390157469403E19,9027314,23808,3,1,34,6,70,89,3376762
1,20,1.205787899908646E19,20192676,27961,2,2,493,1152,30707,59068,0
0,1,1.8401366840902033E19,21375826,36704,1,1,16229611,10006,58655,51090,0
0,1,4.2114077176433556E18,21374681,1625,2,1,9632706,246,13971,14523,168893
0,1,1.205787899908646E19,20183665,27961,2,2,26523,9096,353230,530,978672
0,2,4.7737029818791404E18,4306090,20858,1,1,18467605,99739,161038,194533,76564
0,2,3.010475069228332E18,21487965,35824,2,2,616677,28292,49662,45375,166329
0,2,3.2643867987004554E18,10869115,30419,1,1,20553017,1327,5644,5958,1491
0,1,1.34116100752505549E18,21325116,36548,1,1,328,1491,2625,4215,1096466
0,1,1.4340390157469403E19,4708095,23777,1,1,25488392,2202,1480,1742,20758637
1,1,1.4340390157469403E19,10110383,23808,1,1,1900,224,842,10,306616
1,1,7.3602794250782474E18,20568182,30195,2,1,5263,9253,1321,1613,3003
0,1,2.00214305896498483E18,20945323,24124,2,2,46,77,3234,6657,6781
0,1,1.033776208013359E19,21369998,36766,2,1,1981,9330,59940,57159,5120414
0,1,1.5145480155589095E19,21927082,23807,3,2,867,333,30,32,1880460
0,1,1.1121833691387079E19,21134703,23807,2,1,51,31,364,8,5244175
1,1,6.5394240210565151E18,3219149,23777,1,1,704,1618,57,72,20864392
0,1,7.9739943514296791E18,20969733,35351,1,1,149,5558,22805,21734,2340561
0,1,3.5168895657275873E18,4340958,1267,2,2,4298136,4477,3798,4353,0
0,1,1.4340390157469403E19,21360116,23777,2,1,4771609,1052,395,523,118856
1,1,7.9039145283201915E18,21162407,1325,2,2,1352,15070,25996,27142,14419893
1,1,1.3516559178445044E19,22097754,24340,3,1,5585,14871,26417,26336,8665314
0,2,2.7415928756739395E18,1000699,2716,2,1,74025,3618,19255,11125,0
0,1,1.205787899908646E19,20174700,27961,1,1,15323667,6504,14783,15115,2388563
0,1,4.3963751165494692E18,21372225,32979,2,1,4201237,1527,90355,23528,920555
0,3,1.523471329505401E19,3499915,23964,3,2,3022916,8507,6730,1918,0
0,3,1.5145480155589095E19,20888995,23807,1,1,21584200,181552,5,11,20254980
0,1,1.4340390157469403E19,3106889,23777,1,1,16021,22349,27036,25568,2938748
0,3,1.4752340494333622E19,7179747,20862,3,1,12575,2821,13482,13709,195723
0,1,1.277673072011498E19,9092272,2569,3,2,13768,8157,1310519,1026682,0
1,1,1.5271647416265628E19,22227340,23777,2,1,392,1104,4895,4263,77983
0,1,1.4340390157469403E19,9027213,23808,2,1,1,1,0,0,2106526
1,1,7.9039145283201915E18,21162526,1325,3,1,15,10,24,25,462241
1,1,2.6709527232789048E18,20172874,23805,2,2,1,3,35,16,123193
1,1,1.4340390157469403E19,10110373,23808,2,2,6539190,333,513,10,0
1,1,1.4756578758696272E19,21090724,3625,2,2,9682,20950,85912,81606,13391722
1,1,1.5989049276530887E19,20311871,23824,2,1,8869,23904,51670,31,7520358
0,1,1.4340390157469403E19,10110319,23808,3,3,6341370,1855,4324,43,9861288
0,1,9.446375685917684E18,20178352,32791,2,1,2201962,11387,52150,67436,14435942
1,1,7.9039145283201915E18,21162526,1325,2,1,15,10,22,23,7270455
0,1,8.3749719583882465E18,3819348,4832,1,1,25751622,2849,4094,5192,0
0,1,1.008357241655155E19,2041855,23862,2,2,15764711,31664,212745,254509,4031395
0,3,5.6479280737968148E18,4359659,5219,2,2,206457,253416,480580,411745,0
0,1,1.5145480155589095E19,21183717,23807,2,2,5170,29510,899,8,32143
0,1,2.17407694681481242E18,20584954,33421,1,1,1070,2538,2249,2077,15554
0,1,7.9039145283201915E18,21162514,1325,2,1,22,36,24,25,71302
0,1,1.3542573258974267E19,21273083,36122,2,2,15712488,14971,1801274,1423273,0
0,1,1.72996384937738752E18,9585571,23637,2,1,17,32,236,112,14956654
1,1,1.4340390157469403E19,20644045,23808,2,1,98,2,1,3,4302839
0,1,6.7150490022326559E18,3065545,23783,2,1,13563611,60,54,78,606772
0,1,9.929189799433153E18,20961126,1870,2,1,113592,1779,26559,42848,758289
1,1,8.1940627815007406E18,4416250,467,3,1,3267,867,70700,51653,298388
0,1,5.468727571223081E18,20001249,1381,2,1,12056634,1380,36416,33804,2576026
0,1,8.423986582338768E16,22093804,38474,3,2,1190,872,191278,162363,1409384
0,1,1.67094057903391667E18,20330645,33157,2,1,3227,3165,47946,92,9296978
1,1,4.4448620717027174E18,21191727,20805,2,1,12140180,30239,386395,329456,2009080
0,1,1.205787899908646E19,20192652,27961,1,1,26038419,32218,72505,378,22534665
0,1,1.5435861489756768E19,21232572,36228,2,1,20973,1703,23807,18136,6124154
0,1,1.034946865176566E19,21522776,37422,2,1,0,0,12,4,13877838
0,5,1.4340390157469403E19,3207206,23777,2,2,515,1930,1319,1536,9916284
0,1,8.1342641745108931E18,10593093,1268,2,1,4209,2333,5349,2,1157667
0,1,1.4902231628548426E19,6826819,19784,3,2,24035,8414,363567,382040,355145
0,1,7.7032790697015429E18,21299640,4983,1,1,14,26,38,51,20960125
0,1,7.9039145283201915E18,20885621,2010,1,1,19161154,5115,7617,9291,0
0,1,6.3331328560926464E18,20762424,34534,2,2,11454,1155,4118,1701,154663
0,1,2.1375284034956009E18,20218298,23801,3,3,17,122,102,1711,4630447
0,1,1.6747623119158057E19,21455675,37043,1,1,24607345,3349,1706,1109,69289
0,1,8.0438469336183117E17,21591343,27549,1,1,18846198,7055,677644,546519,66897
0,1,1.205787899908646E19,20192652,27961,2,1,10780492,280,277,815,160722
0,1,9.83216403444817E18,21189868,35901,2,1,327974,891,37178,32192,0
1,1,1.4340390157469403E19,9027437,23808,1,1,24,19,20,20,933540
0,2,1.4531867648059392E19,3831796,27486,2,2,7730,11124,20518,59,203550
0,1,5.8512528144469361E18,20129394,28698,3,2,5356123,507,4129,4938,96808
0,1,3.4458693535546276E18,20393876,32764,2,2,2745,662,5035,5293,5450575
0,1,6.5109066017851597E18,21591964,37477,2,2,677756,19607,291686,174473,13073455
0,1,1.4340390157469403E19,6434912,23777,1,1,1015,16,36,44,20152238
0,1,3.7204620784039542E18,20558677,5554,2,1,15744875,6611,48091,50430,582906
0,1,1.7974149093623511E18,21132146,12871,2,1,1548,28068,6138,72487,6921810
0,1,1.130902570404585E19,22002401,38263,3,3,28061,68,29,156,332934
0,1,1.319522902220335E19,21231192,18049,3,3,768,23509,329036,486801,492399
1,2,1.271304951377705E19,20650564,23382,2,1,25795,14534,48476,44397,570246
0,1,1.205787899908646E19,20174573,27961,1,1,2284046,10934,61166,57337,1695692
0,1,1.4340390157469403E19,21360099,23777,2,2,2381,431,488,211,1454035
0,1,7.9039145283201915E18,21162514,1325,1,1,139534,36,22,23,3889489
0,1,1.205787899908646E19,20147249,27961,2,2,109185,82089,143109,134695,0
0,1,2.00214305896498483E18,20607357,24124,2,2,2376674,2363,33313,1589,3356217
0,1,4.7435339282815867E18,1556349,14800,1,1,6041480,10061,37268,35395,126355
0,1,7.9039145283201915E18,21162109,1325,2,1,6206217,272,767,36,0
0,1,1.4340390157469403E19,20640000,23808,1,1,77889,902,52,61,5780552
0,1,6.6017460591936932E18,1758456,14428,2,2,8778930,6799,5934,239,15468927
1,1,3.1014164100084588E18,21338845,36171,1,1,18617024,5386,10817,11063,0
0,2,7.7883919039734497E18,2881830,27468,1,1,16040166,49712,544,623,2533765
0,1,1.4340390157469403E19,9027448,23808,1,1,721,1054,56,68,640982
0,1,1.5142963784301636E19,21505860,36802,3,3,10493,14072,564030,456874,0
1,1,2.6928596198512824E18,4343443,2051,2,1,1186,6706,6789,6164,50261
0,1,1.83227892354198426E18,1825244,379,2,2,33658,8729,189678,104371,0
0,1,1.8370493401210712E19,20446387,8882,1,1,19749668,157,9755,48639,357612
0,1,9.750422518906778E18,21222439,35880,2,1,319947,423,5780,5526,425855
0,1,1.1551352603896937E18,21098111,35532,2,1,4732141,1147,11527,5883,593556
0,1,1.35971589054173082E18,3566817,3357,3,2,3497328,303154,862620,553053,658
0,1,1.4649469387153842E19,2835805,549,2,2,14025127,117377,270203,28636,7966467
0,1,8.3351050025174508E18,20582549,33524,2,2,14488,6384,5570,16110,582517
0,1,1.19787762991054848E18,21340205,36661,3,2,143,148,3905,452,7202109
0,1,6.4815963960388076E18,3342742,6240,2,1,345,6693,34555,776,9723867
1,1,1.1768449429332392E19,20907282,35058,2,2,64578,15899,497481,404323,1840043
0,1,3.3811088443939502E18,20036426,26814,2,2,19185,872,45607,41854,3295246
0,1,1.205787899908646E19,20174716,27961,1,1,2024596,1800,2601,3166,6139996
0,1,2.6928596198512824E18,4212764,2051,2,2,11298,290,278,56,3450400
1,1,3.2865489117809188E18,21162818,35781,2,1,4285644,83,1603,2038,3892260
0,1,1.6742159257768634E19,6758918,2218,1,1,25875875,78064,136740,117954,0
0,1,4.8684260512846449E18,3751251,7718,1,1,110521,3468,9601,9716,0
1,3,5.8882774317833359E18,7955185,6520,2,2,227,731,136,196,3195155
0,1,2.6709527232789048E18,20172874,23805,2,1,4,7,95,16,15236964
0,1,8.9526510087074304E18,10122002,1547,2,2,12423505,254884,635116,531289,237785
1,2,1.7245542574473951E19,3527769,24089,1,1,115,391,2734,3777,270367
0,1,2.00214305896498483E18,20188693,24124,2,1,26,52,55,95,4815792
0,1,1.5349556856043352E19,22098008,36855,3,3,47175,16220,285173,1720,12857
0,1,1.535770248511473E19,21091751,21027,3,3,594,1383,2008,2228,1182924
0,1,1.7280665637675233E19,21498336,37236,3,3,28655,11589,296156,64434,14644
0,1,4.2981186814246446E18,3005331,385,3,3,2283389,152358,322634,266439,423302
0,1,1.4340390157469403E19,21163926,23808,2,2,11290321,704,2364,296,7561792
1,1,1.4340390157469403E19,3126882,23777,3,1,6503847,1274,1659,1915,974698
0,1,5.8512528144469361E18,20132333,28698,2,2,906,681,29612,27681,426188
0,1,5.468727571223081E18,20001249,1381,2,1,13003731,95,1270,1488,12306
1,1,1.4340390157469403E19,20644045,23808,1,1,108,2,1,3,17812539
0,2,4.557260378474004E18,21314449,20367,3,2,37421,52516,1412913,10847,236466
0,1,1.2089732170889036E19,20630326,4218,3,1,518,3979,411,5154,9551989
0,1,1.4340390157469403E19,21163925,23808,2,1,14805849,486,7187,120,14632689
0,1,1.4340390157469403E19,20644045,23808,2,1,107,2,1,3,4352100
1,1,1.205787899908646E19,20222348,27961,2,2,342831,9579,25231,24652,0
0,1,1.089100440196861E19,22097672,38050,1,1,765246,9259,31763,29664,40173
0,2,7.7032790697015429E18,21299643,4983,2,2,132602,35080,173682,148095,0
0,1,4.225579643116692E18,20369462,33248,2,1,3493172,1052,2988,4271,0
0,1,1.2611010400425636E19,21939292,27499,3,1,17,976,1426,1684,2223994
0,1,1.686921641749333E19,22094568,38300,2,1,45,11,721,927,1352385
0,1,1.2679990063226767E19,21089879,29226,2,1,8862716,12316,791370,74178,7631678
0,1,1.4340390157469403E19,9027437,23808,2,1,4081,19,20,20,1485387
0,1,1.0493494137545437E19,4319081,19755,1,1,20143,10241,16874,19021,15244324
0,1,9.389123638863774E18,2116284,18963,3,1,2209252,89786,128514,14065,0
0,1,1.5517319812696228E19,21551375,37467,1,1,77,91,3723,1958,13409472
0,1,1.4340390157469403E19,6435126,23777,2,1,22046,1033,7274,7444,75954
0,1,1.3557133018779933E19,20706014,34246,2,1,1,3,142,71,1723438
0,1,1.205787899908646E19,20180245,27961,1,1,315135,23766,150397,229329,0
0,2,5.2605941700718192E16,3048011,23782,1,1,200,84,68,104,6284155
0,1,9.486625261930346E18,20681058,34053,2,1,345,4427,121522,105793,15435386
1,1,1.205787899908646E19,20192901,27961,3,2,17912,9124,15456,30852,4205899
0,1,9.7841832123091635E17,10405430,29909,3,1,20835,17179,17451,3785,4768794
0,1,1.7038598989068818E19,21884341,36967,2,2,45156,9774,332810,19777,0
0,5,2.4347563200652785E18,20035851,29273,3,3,17,1224,248,91,441517
1,1,2.19486210990059571E18,4203535,7852,3,1,248010,90176,561182,43300,5879039
0,1,8.343219476588714E18,20917676,35089,2,2,153841,43933,1066555,46108,0
0,1,1.60766040970804122E18,20302822,22485,1,1,482423,5998,4682,5027,314856
0,1,1.4166847110598965E19,3130019,10210,2,2,1035157,22924,48727,44565,0
1,2,2.9491714663986268E18,21098691,35552,3,1,9349,38439,105725,705,475488
0,2,5.2605941700718192E16,3048011,23782,1,1,17605376,705,470,769,1686615
1,1,1.4340390157469403E19,20643960,23808,2,1,2287478,27737,1453,1706,955140
0,1,1.5822134238473933E19,20144355,23804,1,1,543,1645,14247,20039,755165
1,2,6.4143072663383665E18,21248429,35668,2,1,64,10,181,191,9176378
0,1,9.420883265985817E18,4423680,28451,3,1,45,81,314,426,5705149
1,1,1.3111764113225392E19,21273404,36431,2,2,8685,239,41421,22214,14894766
0,1,1.4340390157469403E19,9027936,23808,2,1,14998282,57527,3200,10,107355
0,1,1.33848579481565286E18,20759010,33931,1,1,18092198,511811,1242869,1661,0
0,1,1.205787899908646E19,20163487,27961,2,2,909,573,6289,6947,1303968
